Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Chris Wood,11,nz NZL,FW,33-126,90,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0.0
Callum Hudson-Odoi,14,eng ENG,LW,24-156,90,0,0,0,0,0,0,2,0,1,0,0,0,5,0,0,
Jota Silva,20,pt POR,RW,25-254,58,0,0,0,2,2,0,0,0,2,0,0,0,0,1,2,33.3
Anthony Elanga,21,se SWE,RW,22-350,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,33.3
Morgan Gibbs-White,10,eng ENG,AM,25-075,90,0,0,0,1,2,1,2,0,0,0,0,0,3,1,2,33.3
Elliot Anderson,8,eng ENG,DM,22-157,90,0,0,0,1,4,0,2,1,1,0,0,0,7,3,2,60.0
Nicolás Domínguez,16,ar ARG,DM,26-288,74,0,0,0,1,0,0,0,1,2,0,0,0,5,3,1,75.0
Ryan Yates,22,eng ENG,DM,27-142,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,42.9
Álex Moreno,19,es ESP,LB,31-308,90,0,0,0,1,0,0,3,1,0,0,0,0,7,2,2,50.0
Murillo,5,br BRA,CB,22-282,90,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0,
Nikola Milenković,31,rs SRB,CB,27-182,90,0,0,0,0,0,0,0,2,2,0,0,0,1,2,4,33.3
Neco Williams,7,wls WAL,RB,23-364,90,0,0,0,1,4,0,2,0,1,0,0,0,1,3,2,60.0
Matz Sels,26,be BEL,GK,33-045,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
