Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Jørgen Strand Larsen,9,no NOR,FW,24-312,90,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0
Matheus Cunha,10,br BRA,AM,25-201,90,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0
Jean-Ricner Bellegarde,27,fr FRA,AM,26-170,71,2,1,1,1,0,1,1,100.0,0,0,0,0,0,2,0,0
Hwang Hee-chan,11,kr KOR,AM,28-323,19,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Mario Lemina,5,ga GAB,"CM,DM",31-104,90,2,1,1,1,0,0,2,0.0,2,1,1,0,1,3,1,0
André,7,br BRA,CM,23-151,45,2,1,1,1,0,1,2,50.0,1,0,0,0,0,2,2,0
Tommy Doyle,20,eng ENG,"DM,CM",23-058,45,3,2,1,0,2,0,1,0.0,1,1,1,0,0,3,1,0
Rayan Aït-Nouri,3,dz ALG,"WB,LB",23-191,89,4,3,3,0,1,3,4,75.0,1,0,0,0,1,5,2,0
Matt Doherty,2,ie IRL,WB,32-333,63,0,0,0,0,0,0,0,,0,1,1,0,1,1,2,0
Gonçalo Guedes,29,pt POR,FW,28-015,27,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0
Toti Gomes,24,pt POR,CB,25-333,90,0,0,0,0,0,0,1,0.0,1,1,1,0,1,1,5,0
Santiago Bueno,4,uy URU,CB,26-035,90,2,1,2,0,0,1,1,100.0,0,0,0,0,0,2,1,0
Nélson Semedo,22,pt POR,"CB,RB",31-028,90,4,3,2,2,0,2,4,50.0,2,1,1,0,1,5,3,0
Sam Johnstone,31,eng ENG,GK,31-264,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
