Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Jørgen Strand Larsen,9,no NOR,FW,24-312,90,32,0,1,14,17,9,32,0,0,,0,,13,31,4,0,0,0,4,5,26,6
Matheus Cunha,10,br BRA,AM,25-201,90,55,0,5,24,29,5,55,7,6,85.7,1,14.3,27,315,119,5,5,2,4,1,33,8
Jean-Ricner Bellegarde,27,fr FRA,AM,26-170,71,33,0,2,12,20,3,33,4,2,50.0,1,25.0,21,129,32,2,1,0,1,1,27,7
Hwang Hee-chan,11,kr KOR,AM,28-323,19,6,0,0,4,2,0,6,0,0,,0,,3,22,19,1,0,0,0,0,4,1
Mario Lemina,5,ga GAB,"CM,DM",31-104,90,58,2,10,31,18,1,58,0,0,,0,,34,189,72,1,1,0,1,1,40,3
André,7,br BRA,CM,23-151,45,31,1,6,19,6,0,31,0,0,,0,,13,73,41,0,0,0,0,0,24,0
Tommy Doyle,20,eng ENG,"DM,CM",23-058,45,51,3,13,25,13,0,51,0,0,,0,,29,151,58,0,0,0,0,1,31,0
Rayan Aït-Nouri,3,dz ALG,"WB,LB",23-191,89,62,2,19,28,17,4,62,4,1,25.0,0,0.0,28,234,149,1,2,0,1,0,34,4
Matt Doherty,2,ie IRL,WB,32-333,63,48,4,10,20,19,0,48,0,0,,0,,20,99,56,1,1,0,1,0,29,3
Gonçalo Guedes,29,pt POR,FW,28-015,27,12,2,2,2,8,1,12,2,2,100.0,0,0.0,8,77,66,2,1,0,1,0,7,2
Toti Gomes,24,pt POR,CB,25-333,90,90,10,34,51,5,0,90,4,3,75.0,1,25.0,54,284,118,0,1,0,1,0,68,2
Santiago Bueno,4,uy URU,CB,26-035,90,67,6,24,43,1,0,67,0,0,,0,,39,274,137,0,0,0,0,0,47,0
Nélson Semedo,22,pt POR,"CB,RB",31-028,90,80,7,24,50,6,1,80,1,1,100.0,0,0.0,49,357,271,6,1,1,0,0,52,2
Sam Johnstone,31,eng ENG,GK,31-264,90,37,27,37,0,0,0,37,0,0,,0,,21,128,86,0,0,0,0,0,20,0
