Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Erling Haaland,9,no NOR,FW,24-069,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
Jack Grealish,10,eng ENG,LW,29-018,80,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0
Jeremy Doku,11,be BEL,LW,22-124,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Bernardo Silva,20,pt POR,"RW,DM",30-049,90,3,2,0,3,0,0,1,0.0,1,0,0,0,1,4,0,0
İlkay Gündoğan,19,de GER,AM,33-340,65,1,1,0,1,0,0,1,0.0,1,0,0,0,1,2,3,0
Phil Foden,47,eng ENG,AM,24-123,25,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
Mateo Kovačić,8,hr CRO,DM,30-145,90,4,2,0,3,1,0,1,0.0,1,2,0,2,0,4,2,0
Rico Lewis,82,eng ENG,DM,19-312,80,1,0,0,1,0,0,1,0.0,1,1,0,1,0,1,1,0
Sávio,26,br BRA,RW,20-171,10,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
Joško Gvardiol,24,hr CRO,LB,22-249,90,2,2,0,2,0,2,2,100.0,0,0,0,0,2,4,2,0
Manuel Akanji,25,ch SUI,CB,29-071,90,1,1,1,0,0,0,1,0.0,1,0,0,0,1,2,3,0
Rúben Dias,3,pt POR,CB,27-137,90,1,1,0,1,0,0,1,0.0,1,1,0,1,1,2,3,0
Kyle Walker,2,eng ENG,RB,34-123,90,1,1,0,1,0,0,0,,0,2,2,0,1,2,3,0
Ederson,31,br BRA,GK,31-042,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
