Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Albert Grønbaek,29,dk DEN,FW,23-289,63,12,2,6,5,1,0,12,2,0,0.0,2,100.0,4,28,4,0,0,0,1,2,5,0
Cameron Archer,19,eng ENG,"FW,AM",23-230,27,8,0,0,5,3,1,8,0,0,,0,,4,35,29,1,0,1,0,1,6,1
Kamaldeen Sulemana,20,gh GHA,LW,23-021,90,27,2,5,13,10,2,27,8,4,50.0,4,50.0,19,248,135,3,3,1,1,0,15,4
Tyler Dibling,33,eng ENG,RW,18-361,63,25,0,7,11,9,0,25,5,4,80.0,1,20.0,17,162,73,2,0,0,2,2,17,0
Yukinari Sugawara,16,jp JPN,RB,24-253,27,14,0,8,6,0,0,14,0,0,,0,,5,35,27,1,0,0,0,0,10,0
Mateus Fernandes,18,pt POR,"AM,RW",20-241,90,38,2,15,21,5,1,38,1,1,100.0,0,0.0,18,127,87,0,0,0,2,2,23,0
William Smallbone,8,ie IRL,DM,25-015,70,38,5,15,17,7,1,38,1,1,100.0,0,0.0,13,72,43,0,0,0,0,2,16,1
Adam Lallana,10,eng ENG,DM,36-302,20,16,1,3,9,4,0,16,0,0,,0,,8,33,16,1,1,0,0,0,10,0
Lesley Ugochukwu,26,fr FRA,DM,20-347,82,30,2,10,16,5,0,30,2,1,50.0,1,50.0,18,102,46,0,1,0,1,0,21,2
Paul Onuachu,32,ng NGA,FW,30-284,8,5,0,0,4,1,0,5,0,0,,0,,1,0,0,0,0,0,0,0,5,0
Ryan Manning,3,ie IRL,LB,28-267,82,33,10,19,13,2,0,33,1,1,100.0,0,0.0,9,60,49,0,0,0,1,0,6,0
Joe Aribo,7,ng NGA,DM,28-230,8,5,0,2,2,1,0,5,0,0,,0,,3,53,28,1,1,0,0,0,4,0
Taylor Harwood-Bellis,6,eng ENG,CB,23-037,90,42,10,30,11,2,2,42,0,0,,0,,17,121,81,0,0,0,1,0,20,0
Jan Bednarek,35,pl POL,CB,28-330,18,6,4,6,0,0,0,6,0,0,,0,,0,0,0,0,0,0,0,0,1,0
Armel Bella Kotchap,37,de GER,CB,23-087,72,35,11,30,6,0,0,35,1,0,0.0,1,100.0,14,66,24,0,0,0,0,0,20,0
Kyle Walker-Peters,2,eng ENG,"RB,RW,LB",27-329,90,34,4,15,15,5,0,34,3,1,33.3,1,33.3,20,153,83,3,1,0,1,0,22,4
Aaron Ramsdale,30,eng ENG,GK,26-298,90,37,33,37,0,0,0,37,0,0,,0,,13,82,49,0,0,0,0,0,13,0
