Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Bryan Mbeumo,19,cm CMR,FW,25-052,90,47,41,6,3,0,0,7,0,3,1,1,0,31,0,3
Fabio Carvalho,14,pt POR,FW,22-029,84,32,23,8,2,0,0,5,0,4,2,0,0,22,1,0
Yunus Emre Konak,26,tr TUR,FW,18-262,6,5,4,1,0,0,0,0,1,0,0,0,0,3,0,1
Keane Lewis-Potter,23,eng ENG,LM,23-219,90,33,29,4,1,0,0,3,3,0,0,0,0,25,0,2
Vitaly Janelt,27,de GER,CM,26-141,90,39,39,0,0,0,0,0,0,0,0,0,0,35,0,0
Mikkel Damsgaard,24,dk DEN,"CM,RM",24-087,90,59,57,2,0,0,1,4,2,0,0,0,0,42,0,2
Kevin Schade,7,de GER,RM,22-306,59,17,17,0,0,0,0,5,0,0,0,0,0,6,0,1
Yehor Yarmoliuk,18,ua UKR,CM,20-211,31,30,30,0,0,0,0,3,0,0,0,0,0,27,0,1
Kristoffer Ajer,20,no NOR,LB,26-164,90,53,47,6,1,0,0,1,5,0,0,0,0,38,0,0
Ethan Pinnock,5,jm JAM,CB,31-122,90,79,68,11,0,0,0,0,2,0,0,0,0,70,0,0
Nathan Collins,22,ie IRL,CB,23-151,90,76,73,3,3,0,0,0,0,0,0,0,0,67,0,1
Sepp van den Berg,4,nl NED,RB,22-283,90,57,52,5,0,0,0,0,5,0,0,0,0,44,0,0
Mark Flekken,1,nl NED,GK,31-107,90,51,45,6,2,0,1,0,0,0,0,0,0,38,0,0
