Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Mikel Merino,23,es ESP,FW,28-245,90,2,1,0,1,1,1,1,100.0,0,2,0,2,0,2,1,0
Leandro Trossard,19,be BEL,LW,30-080,90,1,1,0,1,0,1,2,50.0,1,2,0,2,0,1,0,0
Ethan Nwaneri,53,eng ENG,RW,17-338,80,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Raheem Sterling,30,eng ENG,RW,30-076,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Declan Rice,41,eng ENG,LM,26-039,55,1,0,1,0,0,0,0,,0,0,0,0,1,2,1,0
Oleksandr Zinchenko,17,ua UKR,"LM,LB",28-069,35,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Thomas Partey,5,gh GHA,"CM,LM",31-254,90,4,2,1,0,3,1,2,50.0,1,1,0,1,1,5,0,0
Martin Ødegaard,8,no NOR,RM,26-067,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Riccardo Calafiori,33,it ITA,LB,22-279,55,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,2,0
Myles Lewis-Skelly,49,eng ENG,LB,18-149,17,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Gabriel Magalhães,6,br BRA,CB,27-065,90,1,0,1,0,0,1,1,100.0,0,0,0,0,2,3,1,0
William Saliba,2,fr FRA,CB,23-335,85,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
Ben White,4,eng ENG,RB,27-137,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jurriën Timber,12,nl NED,"RB,CB",23-250,90,2,1,2,0,0,1,1,100.0,0,0,0,0,3,5,1,0
David Raya,22,es ESP,GK,29-160,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
