Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Beto,14,gw GNB,FW,27-022,90,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,3,0
Jack Harrison,11,eng ENG,LW,28-094,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Jesper Lindstrøm,29,dk DEN,RW,24-359,53,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0
Ashley Young,18,eng ENG,RW,39-228,37,2,1,0,1,1,1,1,100.0,0,0,0,0,1,3,1,0
Abdoulaye Doucouré,16,ml MLI,AM,32-052,80,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Carlos Alcaraz,24,ar ARG,AM,22-084,10,1,0,0,0,1,0,0,,0,1,1,0,0,1,0,0
Idrissa Gana Gueye,27,sn SEN,DM,35-149,90,11,9,5,5,1,5,6,83.3,1,1,0,1,2,13,3,0
James Garner,37,eng ENG,DM,23-346,80,3,2,1,2,0,2,4,50.0,2,1,0,1,1,4,2,0
Tim Iroegbunam,42,eng ENG,DM,21-237,10,1,1,0,1,0,1,1,100.0,0,1,0,1,0,1,2,0
Vitaliy Mykolenko,19,ua UKR,LB,25-269,90,2,1,0,0,2,0,1,0.0,1,1,0,1,1,3,5,0
Jarrad Branthwaite,32,eng ENG,CB,22-240,90,2,2,2,0,0,1,1,100.0,0,2,2,0,1,3,6,0
James Tarkowski,6,eng ENG,CB,32-095,90,1,1,1,0,0,0,1,0.0,1,0,0,0,1,2,3,0
Jake O'Brien,15,ie IRL,RB,23-283,90,0,0,0,0,0,0,0,,0,1,0,1,1,1,7,0
Jordan Pickford,1,eng ENG,GK,30-352,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
