Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Jean-Philippe Mateta,14,fr FRA,FW,27-201,79,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Eddie Nketiah,9,eng ENG,FW,25-230,11,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Eberechi Eze,10,eng ENG,AM,26-200,78,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
Justin Devenny,55,nir NIR,AM,21-096,12,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Ismaila Sarr,7,sn SEN,AM,26-325,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,0
Jefferson Lerma,8,co COL,CM,30-082,19,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0
Cheick Doucouré,28,ml MLI,CM,25-007,71,3,1,2,1,0,0,1,0.0,1,0,0,0,3,6,0,1
Will Hughes,19,eng ENG,CM,29-273,61,4,4,0,4,0,3,5,60.0,2,0,0,0,0,4,1,0
Daichi Kamada,18,jp JPN,CM,28-163,29,1,1,0,1,0,1,3,33.3,2,0,0,0,1,2,0,0
Tyrick Mitchell,3,eng ENG,WB,25-136,79,0,0,0,0,0,0,0,,0,2,1,1,0,0,5,0
Nathaniel Clyne,17,eng ENG,WB,33-285,11,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Daniel Muñoz,12,co COL,WB,28-234,90,4,3,2,0,2,1,2,50.0,1,0,0,0,3,7,4,1
Marc Guéhi,6,eng ENG,CB,24-186,90,1,0,0,1,0,1,2,50.0,1,4,2,2,0,1,5,0
Maxence Lacroix,5,fr FRA,CB,24-284,90,1,1,1,0,0,0,0,,0,1,1,0,2,3,4,0
Chris Richards,26,us USA,CB,24-293,90,2,1,0,2,0,0,0,,0,2,1,1,0,2,6,0
Dean Henderson,1,eng ENG,GK,27-309,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
