Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Tyler Dibling,33,eng ENG,"FW,RW",18-202,75,21,15,6,1,0,0,2,0,1,1,0,0,14,0,2
Cameron Archer,19,eng ENG,RW,23-071,15,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0
Ryan Fraser,24,sct SCO,LW,30-219,45,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0
Joe Aribo,7,ng NGA,"LM,LW",28-071,45,33,32,1,0,0,0,0,1,0,0,0,0,31,0,1
Maxwel Cornet,22,ci CIV,RW,28-003,45,12,10,2,0,0,0,2,0,2,2,0,0,9,0,0
Ben Brereton,17,cl CHI,"LW,RW",25-165,45,20,20,0,0,0,0,1,0,0,0,0,0,13,0,0
Mateus Fernandes,18,pt POR,AM,20-082,69,31,30,1,1,0,0,1,0,0,0,0,0,25,0,2
Adam Lallana,10,eng ENG,RM,36-143,21,23,23,0,0,0,0,0,0,0,0,0,0,21,0,0
Lesley Ugochukwu,26,fr FRA,DM,20-188,45,16,16,0,0,0,0,0,0,0,0,0,0,11,0,2
Ross Stewart,11,sct SCO,"FW,DM",28-081,45,26,25,1,1,0,0,0,0,0,0,0,0,23,0,0
Flynn Downes,4,eng ENG,"DM,CM",25-254,90,73,72,1,1,0,0,0,0,0,0,0,0,69,0,2
Charlie Taylor,21,eng ENG,LB,31-012,90,62,48,14,2,0,0,2,12,0,0,0,0,58,0,2
Jan Bednarek,35,pl POL,CB,28-171,90,91,81,9,4,0,0,0,0,0,0,0,0,83,1,1
Taylor Harwood-Bellis,6,eng ENG,CB,22-244,90,79,77,2,2,0,2,1,0,0,0,0,0,65,0,0
Yukinari Sugawara,16,jp JPN,RB,24-094,90,65,51,14,3,0,0,5,10,1,0,1,0,55,0,1
Aaron Ramsdale,30,eng ENG,GK,26-139,90,55,49,6,5,0,0,0,0,0,0,0,0,41,0,0
