Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Tyler Dibling,33,eng ENG,"FW,RW",18-202,75,36,1,7,17,12,1,36,3,1,33.3,1,33.3,22,287,42,1,1,1,7,4,23,1
Cameron Archer,19,eng ENG,RW,23-071,15,8,1,1,2,5,1,8,1,1,100.0,0,0.0,5,19,5,0,0,0,1,0,6,1
Ryan Fraser,24,sct SCO,LW,30-219,45,9,0,1,6,2,0,9,0,0,,0,,6,18,3,0,1,0,0,0,6,0
Joe Aribo,7,ng NGA,"LM,LW",28-071,45,44,1,7,21,17,1,44,5,1,20.0,4,80.0,25,145,61,1,1,0,0,2,29,5
Maxwel Cornet,22,ci CIV,RW,28-003,45,20,1,7,7,7,1,20,0,0,,0,,8,16,3,0,0,0,3,0,12,3
Ben Brereton,17,cl CHI,"LW,RW",25-165,45,24,0,3,6,15,5,24,0,0,,0,,18,94,48,2,1,2,1,0,22,7
Mateus Fernandes,18,pt POR,AM,20-082,69,43,1,10,29,4,1,43,2,1,50.0,1,50.0,23,142,43,2,0,0,2,3,32,1
Adam Lallana,10,eng ENG,RM,36-143,21,29,1,4,11,14,1,29,1,1,100.0,0,0.0,19,105,29,0,4,0,2,1,26,2
Lesley Ugochukwu,26,fr FRA,DM,20-188,45,18,1,6,11,2,1,18,0,0,,0,,10,75,47,2,1,1,0,0,13,1
Ross Stewart,11,sct SCO,"FW,DM",28-081,45,35,4,9,16,10,1,35,2,1,50.0,1,50.0,23,117,48,1,0,0,0,2,28,4
Flynn Downes,4,eng ENG,"DM,CM",25-254,90,80,1,26,42,13,0,80,0,0,,0,,44,225,103,2,4,0,0,0,67,2
Charlie Taylor,21,eng ENG,LB,31-012,90,78,7,37,27,15,0,78,1,1,100.0,0,0.0,31,125,18,0,1,0,1,0,45,3
Jan Bednarek,35,pl POL,CB,28-171,90,102,16,62,41,0,0,102,0,0,,0,,58,220,101,0,0,0,0,0,69,0
Taylor Harwood-Bellis,6,eng ENG,CB,22-244,90,89,13,40,43,6,2,89,0,0,,0,,45,222,152,0,1,0,1,0,61,1
Yukinari Sugawara,16,jp JPN,RB,24-094,90,71,4,34,25,12,1,71,1,0,0.0,1,100.0,37,130,30,1,0,0,0,0,46,2
Aaron Ramsdale,30,eng ENG,GK,26-139,90,57,33,55,3,0,0,57,0,0,,0,,44,220,152,0,0,0,0,0,40,0
