Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Kamaldeen Sulemana,20,gh GHA,FW,22-304,14,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Nathan Wood-Gordon,15,eng ENG,CB,22-198,76,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0
Adam Armstrong,9,eng ENG,FW,27-309,81,3,1,0,3,0,1,3,33.3,2,1,1,0,1,4,0,0
Cameron Archer,19,eng ENG,FW,23-147,9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Tyler Dibling,33,eng ENG,"RM,AM",18-278,90,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0
Mateus Fernandes,18,pt POR,LM,20-158,90,1,1,0,1,0,1,2,50.0,1,1,0,1,0,1,1,0
Flynn Downes,4,eng ENG,CM,25-330,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0
Joe Aribo,7,ng NGA,"CM,RM",28-147,90,3,3,2,1,0,2,5,40.0,3,1,0,1,0,3,0,0
Ryan Manning,3,ie IRL,LB,28-184,61,3,2,2,1,0,2,5,40.0,3,1,0,1,2,5,0,0
Yukinari Sugawara,16,jp JPN,RB,24-170,29,1,1,0,1,0,1,1,100.0,0,0,0,0,1,2,1,0
Jan Bednarek,35,pl POL,CB,28-247,90,0,0,0,0,0,0,0,,0,4,3,1,3,3,6,1
Taylor Harwood-Bellis,6,eng ENG,CB,22-320,90,1,1,0,0,1,1,1,100.0,0,0,0,0,3,4,3,0
Kyle Walker-Peters,2,eng ENG,"RB,LB",27-246,90,3,1,2,0,1,1,1,100.0,0,0,0,0,1,4,1,0
Alex McCarthy,1,eng ENG,GK,35-012,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
