Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Liam Delap,19,eng ENG,FW,21-326,89,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Ali Al Hamadi,16,iq IRQ,FW,22-304,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Nathan Broadhead,33,wls WAL,LM,26-269,76,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0
Sammie Szmodics,23,ie IRL,LM,29-097,14,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Jens Cajuste,12,se SWE,CM,25-142,76,3,1,1,2,0,1,2,50.0,1,0,0,0,1,4,4,0
Kalvin Phillips,8,eng ENG,CM,29-028,14,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Sam Morsy,5,eg EGY,CM,33-111,90,3,0,2,1,0,2,3,66.7,1,3,2,1,1,4,3,0
Omari Hutchinson,20,eng ENG,RM,21-061,89,1,0,1,0,0,0,1,0.0,1,4,0,4,0,1,1,0
Jack Taylor,14,ie IRL,RM,26-190,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Leif Davis,3,eng ENG,LB,24-353,90,1,1,1,0,0,1,1,100.0,0,2,2,0,0,1,1,1
Jacob Greaves,24,eng ENG,CB,24-109,90,1,0,1,0,0,0,0,,0,0,0,0,0,1,6,0
Luke Woolfenden,6,eng ENG,CB,26-070,90,2,0,0,2,0,1,1,100.0,0,2,2,0,1,3,3,0
Dara O'Shea,26,ie IRL,CB,25-301,90,3,3,1,1,1,1,1,100.0,0,2,1,1,0,3,3,0
Wes Burns,7,wls WAL,RB,30-037,85,2,2,0,2,0,1,1,100.0,0,2,1,1,3,5,4,0
Ben Johnson,18,eng ENG,RB,24-341,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Christian Walton,28,eng ENG,GK,29-051,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
