Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Jarrod Bowen,20,eng ENG,FW,28-045,90,15,14,1,0,0,0,1,0,0,0,0,0,12,0,1
Carlos Soler,4,es ESP,AM,28-032,76,23,20,3,1,0,0,0,0,0,0,0,0,21,0,0
Danny Ings,18,eng ENG,"LW,AM",32-195,14,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0
Mohammed Kudus,14,gh GHA,AM,24-185,90,20,20,0,0,0,0,2,0,0,0,0,0,14,0,1
Andy Irving,39,sct SCO,CM,24-266,76,26,26,0,0,0,0,2,0,0,0,0,0,20,0,0
Lewis Orford,61,eng ENG,"DM,CM",18-351,14,5,4,1,1,0,0,1,0,0,0,0,0,4,0,0
Tomáš Souček,28,cz CZE,"CM,DM",29-342,90,26,25,1,1,0,0,0,0,0,0,0,0,20,0,0
Emerson Palmieri,33,it ITA,WB,30-184,71,15,14,1,0,0,0,0,1,0,0,0,0,9,0,0
Oliver Scarles,57,eng ENG,"WB,LB",19-053,19,6,5,1,0,0,0,0,1,0,0,0,0,4,0,0
Aaron Wan-Bissaka,29,eng ENG,"WB,RB",27-069,90,25,20,5,0,0,0,2,5,0,0,0,0,18,0,1
Aaron Cresswell,3,eng ENG,CB,35-050,86,40,31,9,3,1,1,3,3,3,2,1,0,34,0,1
Luis Guilherme,17,br BRA,RW,18-360,4,6,6,0,0,0,0,2,0,0,0,0,0,4,0,1
Max Kilman,26,eng ENG,CB,27-256,90,28,28,0,0,0,0,0,0,0,0,0,0,21,0,1
Vladimír Coufal,5,cz CZE,CB,32-165,71,21,20,1,0,0,0,1,1,0,0,0,0,17,0,0
Konstantinos Mavropanos,15,gr GRE,CB,27-054,19,10,9,0,0,0,0,0,0,0,0,0,0,7,1,0
Alphonse Areola,23,fr FRA,GK,31-342,90,37,19,18,4,0,0,0,0,0,0,0,0,15,0,0
