Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Dominic Calvert-Lewin,9,eng ENG,FW,27-281,72,0,0,0,0,0,0,0,,0,1,1,0,1,1,1,0
Beto,14,gw GNB,FW,26-326,18,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
Iliman Ndiaye,10,sn SEN,LW,24-291,90,2,0,1,1,0,2,2,100.0,0,1,1,0,0,2,3,0
Jack Harrison,11,eng ENG,RW,28-032,72,3,3,3,0,0,3,4,75.0,1,0,0,0,0,3,3,0
Jesper Lindstrøm,29,dk DEN,RW,24-297,18,2,1,2,0,0,2,5,40.0,3,0,0,0,0,2,2,0
Abdoulaye Doucouré,16,ml MLI,LM,31-356,90,4,2,1,2,1,1,3,33.3,2,2,0,2,0,4,1,0
Idrissa Gana Gueye,27,sn SEN,CM,35-087,90,2,1,0,2,0,2,5,40.0,3,0,0,0,1,3,0,0
Orel Mangala,8,be BEL,RM,26-279,90,1,0,0,0,1,0,0,,0,1,0,1,1,2,1,0
Vitaliy Mykolenko,19,ua UKR,LB,25-207,90,5,1,2,3,0,3,6,50.0,3,2,1,1,3,8,6,0
Jarrad Branthwaite,32,eng ENG,CB,22-178,90,4,0,4,0,0,2,2,100.0,0,1,1,0,0,4,2,0
James Tarkowski,6,eng ENG,CB,32-033,90,2,1,2,0,0,1,2,50.0,1,1,1,0,2,4,1,0
Ashley Young,18,eng ENG,RB,39-166,72,4,2,2,2,0,1,5,20.0,4,0,0,0,2,6,3,0
Séamus Coleman,23,ie IRL,RB,36-072,18,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jordan Pickford,1,eng ENG,GK,30-290,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
