Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Evanilson,9,br BRA,FW,25-048,90,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0
Antoine Semenyo,24,gh GHA,"LW,RW",24-321,90,1,0,0,1,0,0,0,,0,1,0,1,0,1,0,0
Marcus Tavernier,16,eng ENG,"RW,DM",25-246,90,2,1,1,0,1,0,3,0.0,3,1,0,1,0,2,0,0
Justin Kluivert,19,nl NED,AM,25-202,74,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
David Brooks,7,wls WAL,"RW,AM",27-138,16,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Lewis Cook,4,eng ENG,DM,27-294,90,1,1,0,1,0,0,0,,0,0,0,0,1,2,0,0
Tyler Adams,12,us USA,DM,25-283,64,5,4,0,4,1,2,2,100.0,0,0,0,0,2,7,0,0
Dango Ouattara,11,bf BFA,"LB,LW",22-286,26,2,1,1,0,1,1,3,33.3,2,0,0,0,1,3,1,0
Milos Kerkez,3,hu HUN,LB,21-016,80,3,1,0,3,0,3,3,100.0,0,2,1,1,1,4,0,0
Enes Ünal,26,tr TUR,AM,27-197,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Marcos Senesi,5,ar ARG,CB,27-197,64,2,1,0,2,0,0,2,0.0,2,0,0,0,0,2,1,0
Dean Huijsen,2,es ESP,CB,19-223,26,1,1,0,1,0,0,0,,0,0,0,0,1,2,2,0
Illia Zabarnyi,27,ua UKR,CB,22-083,90,0,0,0,0,0,0,0,,0,0,0,0,2,2,2,0
Adam Smith,15,eng ENG,RB,33-208,74,2,1,1,0,1,2,2,100.0,0,1,0,1,1,3,1,0
Max Aarons,37,eng ENG,RB,24-324,16,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Kepa Arrizabalaga,13,es ESP,GK,30-051,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
