Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Evanilson,9,br BRA,FW,25-090,81,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Philip Billing,29,dk DEN,AM,28-207,9,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Dango Ouattara,11,bf BFA,LW,22-328,69,1,1,0,0,1,0,0,,0,1,0,1,0,1,4,0
David Brooks,7,wls WAL,RW,27-180,21,1,0,0,1,0,0,1,0.0,1,1,0,1,0,1,0,0
Antoine Semenyo,24,gh GHA,"RW,LW",24-363,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0
Justin Kluivert,19,nl NED,AM,25-244,69,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0
Enes Ünal,26,tr TUR,"FW,AM",27-239,21,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Lewis Cook,4,eng ENG,"DM,RB",27-336,90,3,3,3,0,0,0,2,0.0,2,0,0,0,1,4,3,0
Ryan Christie,10,sct SCO,DM,29-317,90,0,0,0,0,0,0,3,0.0,3,0,0,0,2,2,4,0
Milos Kerkez,3,hu HUN,LB,21-058,90,2,2,2,0,0,1,2,50.0,1,1,0,1,3,5,1,0
Dean Huijsen,2,es ESP,CB,19-265,90,1,1,0,1,0,1,2,50.0,1,1,0,1,1,2,9,0
Illia Zabarnyi,27,ua UKR,CB,22-125,90,3,1,1,1,1,2,2,100.0,0,0,0,0,0,3,4,0
James Hill,23,eng ENG,RB,22-360,69,1,1,0,1,0,0,1,0.0,1,1,0,1,1,2,3,0
Tyler Adams,12,us USA,"DM,RB",25-325,21,3,3,1,2,0,1,5,20.0,4,0,0,0,0,3,1,0
Mark Travers,42,ie IRL,GK,25-231,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
