Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Jamie Vardy,9,eng ENG,FW,37-359,90,1,0,1,0,0,1,1,100.0,0,1,1,0,0,1,1,0
Stephy Mavididi,10,eng ENG,LW,26-218,90,2,0,1,1,0,0,1,0.0,1,1,1,0,1,3,1,0
Jordan Ayew,18,gh GHA,RW,33-115,82,3,2,0,3,0,1,1,100.0,0,3,0,3,0,3,0,0
Facundo Buonanotte,40,ar ARG,RW,20-012,8,1,1,0,0,1,0,0,,0,0,0,0,1,2,0,0
Bilal El Khannouss,11,ma MAR,AM,20-239,81,1,1,0,1,0,0,2,0.0,2,0,0,0,0,1,0,0
Patson Daka,20,zm ZAM,AM,26-087,9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Boubakary Soumaré,24,fr FRA,DM,25-312,90,3,2,1,2,0,1,2,50.0,1,0,0,0,2,5,2,0
Harry Winks,8,eng ENG,DM,28-337,90,3,0,1,2,0,1,2,50.0,1,1,0,1,1,4,0,0
Luke Thomas,33,eng ENG,LB,23-208,89,3,3,3,0,0,2,3,66.7,1,1,1,0,2,5,3,0
Bobby De Cordova-Reid,14,jm JAM,RB,31-337,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jannik Vestergaard,23,dk DEN,CB,32-154,61,2,1,1,1,0,1,1,100.0,0,0,0,0,1,3,4,0
Wout Faes,3,be BEL,CB,26-276,29,1,1,0,1,0,1,1,100.0,0,0,0,0,1,2,0,0
Conor Coady,4,eng ENG,CB,31-314,81,0,0,0,0,0,0,0,,0,3,1,2,1,1,2,0
Caleb Okoli,5,it ITA,CB,23-175,9,2,1,1,1,0,1,1,100.0,0,1,1,0,0,2,1,0
James Justin,2,eng ENG,"RB,LB",26-316,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,1
Jakub Stolarczyk,41,pl POL,GK,24-016,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
