Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Jean-Philippe Mateta,14,fr FRA,FW,27-181,81,18,18,0,0,1,0,0,0,0,0,0,0,11,0,1
Daichi Kamada,18,jp JPN,AM,28-143,9,2,2,0,0,0,0,1,0,0,0,0,0,2,0,0
Eberechi Eze,10,eng ENG,AM,26-180,87,35,31,4,2,0,0,2,0,1,0,1,0,29,0,0
Justin Devenny,55,nir NIR,AM,21-076,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1
Ismaila Sarr,7,sn SEN,"AM,FW",26-305,90,17,17,0,0,0,0,1,0,0,0,0,0,12,0,0
Jefferson Lerma,8,co COL,CM,30-062,90,52,49,2,0,0,1,1,2,0,0,0,0,44,1,1
Will Hughes,19,eng ENG,CM,29-253,52,28,26,2,1,0,0,1,0,1,1,0,0,22,0,1
Cheick Doucouré,28,ml MLI,CM,24-353,38,30,30,0,0,0,0,0,0,0,0,0,0,25,0,0
Tyrick Mitchell,3,eng ENG,WB,25-116,90,52,45,7,0,0,0,1,7,0,0,0,0,37,0,6
Daniel Muñoz,12,co COL,WB,28-214,90,49,39,10,0,0,0,3,10,0,0,0,0,41,0,2
Marc Guéhi,6,eng ENG,CB,24-166,90,55,53,2,2,0,0,1,0,0,0,0,0,40,0,1
Maxence Lacroix,5,fr FRA,CB,24-264,90,43,40,3,3,0,0,0,0,0,0,0,0,37,0,0
Trevoh Chalobah,27,eng ENG,CB,25-174,90,41,39,2,1,0,0,0,1,0,0,0,0,35,0,1
Dean Henderson,1,eng ENG,GK,27-289,90,40,22,18,5,0,0,0,0,0,0,0,0,26,0,0
