Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Leandro Trossard,19,be BEL,FW,29-293,44,7,7,0,0,0,0,1,0,0,0,0,0,4,0,0
Kai Havertz,29,de GER,"RM,FW",25-103,90,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Martinelli,11,br BRA,LM,23-096,86,17,17,0,0,0,0,2,0,0,0,0,0,13,0,0
Gabriel Jesus,9,br BRA,LM,27-172,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
Declan Rice,41,eng ENG,CM,25-252,90,25,19,6,3,0,1,1,0,0,0,0,0,17,0,1
Thomas Partey,5,gh GHA,CM,31-101,90,31,28,3,3,0,0,0,0,0,0,0,0,25,0,0
Bukayo Saka,7,eng ENG,RM,23-017,45,13,11,2,0,0,0,3,0,2,2,0,0,11,0,0
Ben White,4,eng ENG,CB,26-350,45,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
Riccardo Calafiori,33,it ITA,LB,22-126,73,18,17,1,0,0,0,0,1,0,0,0,0,17,0,0
Jakub Kiwior,15,pl POL,"LB,RB",24-220,17,2,1,1,0,0,0,0,1,0,0,0,0,2,0,0
Gabriel Magalhães,6,br BRA,CB,26-278,90,21,21,0,0,0,0,0,0,0,0,0,0,17,0,1
William Saliba,2,fr FRA,CB,23-182,90,25,24,0,0,0,1,0,0,0,0,0,0,22,1,0
Jurriën Timber,12,nl NED,RB,23-097,89,10,7,3,0,0,0,0,3,0,0,0,0,2,0,0
Myles Lewis-Skelly,49,eng ENG,LB,17-362,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
David Raya,22,es ESP,GK,29-007,90,40,27,13,1,0,0,0,0,0,0,0,0,18,0,0
