Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Darwin Núñez,9,uy URU,FW,25-138,64,16,16,0,0,0,0,0,0,0,0,0,0,14,0,1
Cody Gakpo,18,nl NED,"FW,LW",25-186,26,7,6,1,1,0,0,1,0,0,0,0,0,6,0,0
Luis Díaz,7,co COL,"LW,FW",27-301,90,33,33,0,0,0,0,1,0,0,0,0,0,24,0,1
Mohamed Salah,11,eg EGY,RW,32-147,90,32,31,1,1,1,0,1,0,0,0,0,0,21,0,1
Curtis Jones,17,eng ENG,AM,23-284,64,40,38,2,0,0,0,0,1,0,0,0,0,35,0,1
Dominik Szoboszlai,8,hu HUN,AM,24-015,26,13,11,2,1,0,1,1,1,0,0,0,0,12,0,0
Alexis Mac Allister,10,ar ARG,DM,25-321,86,67,65,1,1,0,0,0,0,0,0,0,0,61,1,0
Wataru Endo,3,jp JPN,DM,31-274,4,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
Ryan Gravenberch,38,nl NED,DM,22-177,90,57,56,1,1,0,1,0,0,0,0,0,0,50,0,0
Andrew Robertson,26,sct SCO,LB,30-243,90,84,74,10,2,0,0,4,6,2,2,0,0,71,0,2
Virgil van Dijk,4,nl NED,CB,33-124,90,116,107,9,3,0,0,0,0,0,0,0,0,110,0,0
Ibrahima Konaté,5,fr FRA,CB,25-168,90,74,72,2,2,0,0,0,0,0,0,0,0,69,0,0
Trent Alexander-Arnold,66,eng ENG,RB,26-033,24,19,16,3,2,0,2,0,1,0,0,0,0,15,0,0
Conor Bradley,84,nir NIR,RB,21-123,66,53,49,4,0,0,0,0,4,0,0,0,0,48,0,1
Caoimhín Kelleher,62,ie IRL,GK,25-352,90,29,26,3,2,0,0,0,0,0,0,0,0,24,0,0
