Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Alexander Isak,14,se SWE,FW,25-170,78,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0
Callum Wilson,9,eng ENG,FW,33-011,12,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Harvey Barnes,11,eng ENG,LW,27-091,78,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Joe Willock,28,eng ENG,LW,25-202,12,1,0,0,1,0,1,2,50.0,1,0,0,0,0,1,0,0
Jacob Murphy,23,eng ENG,RW,30-014,90,3,0,1,2,0,2,3,66.7,1,3,0,3,0,3,1,0
Joelinton,7,br BRA,LM,28-208,90,3,2,3,0,0,2,3,66.7,1,1,0,1,1,4,2,0
Sandro Tonali,8,it ITA,CM,24-306,90,3,2,1,2,0,1,2,50.0,1,0,0,0,1,4,2,0
Bruno Guimarães,39,br BRA,RM,27-114,87,0,0,0,0,0,0,0,,0,2,0,2,1,1,0,0
Sean Longstaff,36,eng ENG,RM,27-131,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Valentino Livramento,21,eng ENG,LB,22-118,90,2,1,2,0,0,1,2,50.0,1,2,0,2,0,2,3,0
Dan Burn,33,eng ENG,CB,32-305,90,0,0,0,0,0,0,0,,0,2,2,0,1,1,8,0
Fabian Schär,5,ch SUI,CB,33-080,90,0,0,0,0,0,0,1,0.0,1,2,2,0,1,1,5,0
Kieran Trippier,2,eng ENG,RB,34-172,90,0,0,0,0,0,0,1,0.0,1,1,0,1,3,3,3,0
Nick Pope,22,eng ENG,GK,32-325,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
