Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Gonçalo Guedes,29,pt POR,FW,28-079,45,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Jean-Ricner Bellegarde,27,fr FRA,AM,26-234,45,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Matheus Cunha,10,br BRA,AM,25-265,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Pablo Sarabia,21,es ESP,AM,32-281,45,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Marshall Munetsi,5,zw ZIM,FW,28-239,45,2,1,0,0,2,1,1,100.0,0,0,0,0,0,2,0,0
João Gomes,8,br BRA,CM,24-004,82,2,2,1,0,1,1,5,20.0,4,2,0,2,1,3,0,0
Tommy Doyle,20,eng ENG,CM,23-122,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
André,7,br BRA,CM,23-215,90,1,1,0,1,0,0,0,,0,0,0,0,2,3,0,0
Rayan Aït-Nouri,3,dz ALG,WB,23-255,90,1,0,1,0,0,0,0,,0,2,0,2,1,2,3,0
Nélson Semedo,22,pt POR,WB,31-092,89,3,3,1,2,0,3,3,100.0,0,1,0,1,2,5,2,0
Pedro Lima,37,br BRA,WB,18-230,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Toti Gomes,24,pt POR,CB,26-031,90,3,2,2,0,1,1,1,100.0,0,0,0,0,1,4,6,1
Emmanuel Agbadou,12,ci CIV,CB,27-244,60,0,0,0,0,0,0,0,,0,1,1,0,1,1,2,0
Santiago Bueno,4,uy URU,CB,26-099,30,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
Matt Doherty,2,ie IRL,CB,33-031,90,2,2,1,1,0,2,2,100.0,0,0,0,0,0,2,4,0
José Sá,1,pt POR,GK,32-030,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
