Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Alexander Isak,14,se SWE,FW,25-050,89,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
William Osula,18,dk DEN,FW,21-098,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Joelinton,7,br BRA,"RW,LW",28-088,90,3,3,1,2,0,1,1,100.0,0,1,0,1,1,4,1,0
Anthony Gordon,10,eng ENG,"RW,LW",23-260,79,1,0,0,1,0,0,1,0.0,1,0,0,0,1,2,0,0
Harvey Barnes,11,eng ENG,LW,26-337,11,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Joe Willock,28,eng ENG,LM,25-082,68,1,1,1,0,0,1,1,100.0,0,2,0,2,0,1,1,0
Sandro Tonali,8,it ITA,LM,24-186,22,2,1,1,1,0,1,1,100.0,0,1,1,0,1,3,0,0
Bruno Guimarães,39,br BRA,CM,26-360,90,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,2,0
Sean Longstaff,36,eng ENG,RM,27-011,90,4,2,3,0,1,3,3,100.0,0,0,0,0,0,4,0,0
Lewis Hall,20,eng ENG,LB,20-063,90,1,1,0,0,1,0,2,0.0,2,1,1,0,5,6,2,1
Dan Burn,33,eng ENG,CB,32-185,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,0
Fabian Schär,5,ch SUI,CB,32-326,90,0,0,0,0,0,0,1,0.0,1,2,1,1,2,2,7,0
Valentino Livramento,21,eng ENG,RB,21-364,90,0,0,0,0,0,0,1,0.0,1,1,0,1,3,3,3,0
Nick Pope,22,eng ENG,GK,32-205,90,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
