Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Dominic Solanke,19,eng ENG,FW,27-043,90,1,1,0,1,0,0,0,,0,1,0,1,0,1,3,0
Mikey Moore,47,eng ENG,LW,17-077,61,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Timo Werner,16,de GER,LM,28-235,29,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Brennan Johnson,22,wls WAL,"RW,RM",23-157,90,3,2,1,2,0,0,1,0.0,1,0,0,0,0,3,0,0
James Maddison,10,eng ENG,LM,27-339,61,2,1,1,0,1,1,2,50.0,1,1,0,1,0,2,2,0
Richarlison,9,br BRA,FW,27-170,29,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0
Yves Bissouma,8,ml MLI,CM,28-058,86,1,1,1,0,0,0,0,,0,2,1,1,2,3,3,0
Rodrigo Bentancur,30,uy URU,CM,27-124,4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Dejan Kulusevski,21,se SWE,RM,24-185,61,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0
Pape Matar Sarr,29,sn SEN,CM,22-043,29,1,0,1,0,0,0,0,,0,0,0,0,1,2,0,0
Destiny Udogie,13,it ITA,LB,21-334,90,1,0,0,1,0,1,1,100.0,0,2,0,2,1,2,3,0
Micky van de Ven,37,nl NED,CB,23-191,90,1,1,1,0,0,0,0,,0,0,0,0,2,3,3,1
Cristian Romero,17,ar ARG,CB,26-183,90,6,5,4,2,0,3,3,100.0,0,1,0,1,2,8,6,0
Pedro Porro,23,es ESP,RB,25-044,90,2,2,2,0,0,2,2,100.0,0,0,0,0,0,2,2,0
Guglielmo Vicario,1,it ITA,GK,28-020,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1
