Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Kai Havertz,29,de GER,FW,25-152,90,1,0,0,1,0,0,0,,0,2,1,1,0,1,2,0
Gabriel Martinelli,11,br BRA,LW,23-145,70,1,1,0,1,0,0,3,0.0,3,1,0,1,0,1,0,0
Leandro Trossard,19,be BEL,LW,29-342,20,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Bukayo Saka,7,eng ENG,RW,23-066,80,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
Gabriel Jesus,9,br BRA,RW,27-221,10,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Declan Rice,41,eng ENG,LM,25-301,70,3,1,1,1,1,2,3,66.7,1,0,0,0,0,3,2,0
Mikel Merino,23,es ESP,LM,28-141,20,0,0,0,0,0,0,0,,0,2,1,1,1,1,0,0
Thomas Partey,5,gh GHA,CM,31-150,90,2,0,0,0,2,1,2,50.0,1,0,0,0,1,3,2,0
Martin Ødegaard,8,no NOR,RM,25-329,90,2,1,0,2,0,0,0,,0,1,0,1,0,2,0,0
Jurriën Timber,12,nl NED,LB,23-146,90,0,0,0,0,0,0,1,0.0,1,2,2,0,1,1,1,0
Gabriel Magalhães,6,br BRA,CB,26-327,90,0,0,0,0,0,0,0,,0,2,2,0,0,0,3,0
William Saliba,2,fr FRA,CB,23-231,90,3,2,2,1,0,1,1,100.0,0,1,0,1,0,3,2,0
Ben White,4,eng ENG,RB,27-033,90,1,1,1,0,0,1,1,100.0,0,2,2,0,2,3,2,0
David Raya,22,es ESP,GK,29-056,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1
