Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Alexander Isak,14,se SWE,FW,25-198,71,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,
Callum Wilson,9,eng ENG,FW,33-039,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Harvey Barnes,11,eng ENG,"LW,RW",27-119,90,0,0,0,1,1,1,1,0,2,0,0,0,4,0,1,0.0
Jacob Murphy,23,eng ENG,RW,30-042,71,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0.0
William Osula,18,dk DEN,LW,21-246,19,0,0,0,1,0,0,0,3,0,0,0,0,1,1,1,50.0
Joelinton,7,br BRA,LM,28-236,64,0,0,0,1,0,1,0,0,2,0,0,0,4,0,3,0.0
Lewis Miley,67,eng ENG,LM,18-341,26,0,0,0,1,0,0,0,0,2,0,0,0,3,0,2,0.0
Sandro Tonali,8,it ITA,CM,24-334,90,0,0,0,2,1,0,0,2,1,0,0,0,9,0,1,0.0
Bruno Guimarães,39,br BRA,RM,27-142,64,0,0,0,1,0,0,1,0,4,0,0,0,5,1,0,100.0
Sean Longstaff,36,eng ENG,RM,27-159,26,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,100.0
Valentino Livramento,21,eng ENG,LB,22-146,90,0,0,0,0,2,0,1,0,1,0,0,0,5,1,1,50.0
Dan Burn,33,eng ENG,CB,32-333,90,0,0,0,1,1,0,0,1,0,0,0,0,3,3,2,60.0
Fabian Schär,5,ch SUI,CB,33-108,90,0,0,0,0,0,0,0,1,2,0,0,0,6,2,1,66.7
Kieran Trippier,2,eng ENG,RB,34-200,86,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,100.0
Emil Krafth,17,se SWE,RB,30-248,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,100.0
Nick Pope,22,eng ENG,GK,32-353,90,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
