Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Rodrigo Muniz,9,br BRA,FW,23-337,75,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
Raúl Jiménez,7,mx MEX,FW,33-336,15,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0
Alex Iwobi,17,ng NGA,LW,28-338,81,2,1,0,2,0,2,2,100.0,0,1,0,1,1,3,1,0
Kenny Tete,2,nl NED,CB,29-179,9,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Ryan Sessegnon,30,eng ENG,RW,24-323,81,2,1,1,0,1,0,0,,0,2,0,2,1,3,1,0
Adama Traoré,11,es ESP,RM,29-071,9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Andreas Pereira,18,br BRA,AM,29-095,75,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Emile Smith Rowe,32,eng ENG,"LM,AM",24-252,15,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0
Saša Lukić,20,rs SRB,DM,28-236,75,1,1,0,0,1,0,0,,0,0,0,0,0,1,3,0
Harrison Reed,6,eng ENG,"CM,DM",30-069,15,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0
Sander Berge,16,no NOR,"DM,CM",27-051,90,2,2,1,0,1,1,2,50.0,1,0,0,0,0,2,0,1
Antonee Robinson,33,us USA,LB,27-241,90,3,3,2,1,0,3,4,75.0,1,1,0,1,3,6,8,0
Calvin Bassey,3,ng NGA,CB,25-096,90,3,3,3,0,0,0,0,,0,3,1,2,1,4,6,1
Joachim Andersen,5,dk DEN,CB,28-310,90,2,0,1,1,0,1,1,100.0,0,1,1,0,0,2,15,0
Timothy Castagne,21,be BEL,RB,29-122,90,6,4,5,0,1,4,6,66.7,2,1,1,0,1,7,9,0
Bernd Leno,1,de GER,GK,33-033,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
