Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Taiwo Awoniyi,9,ng NGA,FW,27-103,62,1,1,0,0,1,0,0,,0,0,0,0,0,1,1,0
Chris Wood,11,nz NZL,FW,32-352,28,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Callum Hudson-Odoi,14,eng ENG,LW,24-016,90,2,1,1,1,0,1,1,100.0,0,0,0,0,0,2,0,0
Anthony Elanga,21,se SWE,RW,22-210,45,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0
Jota Silva,20,pt POR,"AM,RW",25-114,45,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,0,0
Ryan Yates,22,eng ENG,"AM,DM",27-002,90,1,1,0,1,0,1,1,100.0,0,1,0,1,2,3,1,0
Nicolás Domínguez,16,ar ARG,DM,26-148,62,2,1,2,0,0,1,2,50.0,1,1,0,1,3,5,4,0
Ramón Sosa,24,py PAR,RW,25-084,28,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
James Ward-Prowse,18,eng ENG,DM,30-022,90,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,3,0
Álex Moreno,19,es ESP,LB,31-168,72,4,3,4,0,0,4,7,57.1,3,1,0,1,1,5,2,0
Neco Williams,7,wls WAL,LB,23-224,18,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0
Murillo,5,br BRA,CB,22-142,90,1,1,1,0,0,0,1,0.0,1,5,4,1,0,1,5,0
Nikola Milenković,31,rs SRB,CB,27-042,90,1,1,1,0,0,0,0,,0,2,2,0,1,2,2,0
Ola Aina,34,ng NGA,RB,28-046,90,2,1,1,1,0,2,2,100.0,0,0,0,0,2,4,4,0
Matz Sels,26,be BEL,GK,32-271,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
