Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Dominic Solanke,19,eng ENG,FW,26-340,90,19,17,2,0,1,0,0,0,0,0,0,0,15,0,1
Son Heung-min,7,kr KOR,"LW,LM",32-042,89,52,50,2,1,0,0,3,1,0,0,0,0,43,0,4
Richarlison,9,br BRA,LM,27-101,1,5,5,0,0,0,0,0,0,0,0,0,0,3,0,1
Brennan Johnson,22,wls WAL,RW,23-088,77,29,28,1,0,0,0,2,1,0,0,0,0,21,0,1
Timo Werner,16,de GER,RM,28-166,13,19,17,2,0,0,0,2,2,0,0,0,0,14,0,2
James Maddison,10,eng ENG,LM,27-270,78,71,55,16,4,1,2,11,0,12,4,3,0,55,0,1
Dejan Kulusevski,21,se SWE,CM,24-116,12,9,9,0,0,0,0,1,0,0,0,0,0,7,0,1
Rodrigo Bentancur,30,uy URU,CM,27-055,77,47,44,3,3,0,0,0,0,0,0,0,0,46,0,0
Archie Gray,14,eng ENG,DM,18-160,13,21,21,0,0,0,0,0,0,0,0,0,0,18,0,3
Pape Matar Sarr,29,sn SEN,RM,21-340,77,48,47,1,0,0,0,1,1,0,0,0,0,42,0,2
Lucas Bergvall,15,se SWE,CM,18-199,13,29,26,3,1,0,0,2,1,1,1,0,0,27,0,0
Destiny Udogie,13,it ITA,LB,21-265,90,71,64,6,0,0,0,1,6,0,0,0,0,61,1,2
Micky van de Ven,37,nl NED,CB,23-122,90,96,95,1,0,0,1,0,0,0,0,0,0,90,0,0
Cristian Romero,17,ar ARG,CB,26-114,90,97,91,6,3,0,0,1,0,0,0,0,0,89,0,0
Pedro Porro,23,es ESP,RB,24-341,89,57,50,7,1,0,0,4,6,0,0,0,0,49,0,0
Djed Spence,24,eng ENG,RB,24-010,1,9,9,0,0,0,0,0,0,0,0,0,0,9,0,0
Guglielmo Vicario,1,it ITA,GK,27-317,90,45,43,2,0,0,0,0,0,0,0,0,0,42,0,0
