Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Christopher Nkunku,18,fr FRA,FW,27-020,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
João Félix,14,pt POR,LW,25-024,90,2,1,1,1,0,2,2,100.0,0,0,0,0,2,4,0,0
Noni Madueke,11,eng ENG,RW,22-269,71,0,0,0,0,0,0,2,0.0,2,3,0,3,2,2,0,0
Jadon Sancho,19,eng ENG,RW,24-254,19,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Cole Palmer,20,eng ENG,AM,22-212,78,0,0,0,0,0,0,2,0.0,2,1,0,1,1,1,0,0
Kiernan Dewsbury-Hall,22,eng ENG,AM,26-089,12,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Moisés Caicedo,25,ec ECU,DM,23-032,90,2,1,0,2,0,2,2,100.0,0,0,0,0,0,2,1,0
Enzo Fernández,8,ar ARG,DM,23-322,90,1,1,0,1,0,1,7,14.3,6,2,1,1,0,1,0,1
Marc Cucurella,3,es ESP,LB,26-135,78,1,0,0,0,1,1,3,33.3,2,1,0,1,1,2,1,0
Renato Veiga,40,pt POR,LB,21-128,12,1,1,1,0,0,0,2,0.0,2,0,0,0,0,1,0,0
Tosin Adarabioyo,4,eng ENG,CB,27-071,90,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,2,0
Axel Disasi,2,fr FRA,CB,26-268,90,0,0,0,0,0,0,0,,0,1,1,0,0,0,4,0
Malo Gusto,27,fr FRA,RB,21-199,90,7,5,5,2,0,5,5,100.0,0,2,0,2,0,7,4,0
Filip Jørgensen,12,dk DEN,GK,22-232,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
