Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Alexander Isak,14,se SWE,FW,25-096,89,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
William Osula,18,dk DEN,FW,21-144,1,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
Anthony Gordon,10,eng ENG,LW,23-306,78,0,0,0,0,0,0,3,0.0,3,1,0,1,0,0,4,0
Joe Willock,28,eng ENG,LW,25-128,12,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Jacob Murphy,23,eng ENG,RW,29-306,78,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0
Harvey Barnes,11,eng ENG,RW,27-017,12,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Joelinton,7,br BRA,LM,28-134,90,0,0,0,0,0,0,0,,0,0,0,0,2,2,3,0
Sandro Tonali,8,it ITA,CM,24-232,90,2,2,0,1,1,1,3,33.3,2,2,1,1,1,3,1,0
Bruno Guimarães,39,br BRA,RM,27-040,89,1,1,0,1,0,0,1,0.0,1,0,0,0,1,2,0,0
Lewis Miley,67,eng ENG,RM,18-239,1,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0
Lewis Hall,20,eng ENG,LB,20-109,90,2,2,1,1,0,2,2,100.0,0,0,0,0,1,3,0,0
Dan Burn,33,eng ENG,CB,32-231,90,1,1,1,0,0,0,0,,0,0,0,0,0,1,6,0
Fabian Schär,5,ch SUI,CB,33-006,90,0,0,0,0,0,0,0,,0,1,0,1,1,1,4,0
Kieran Trippier,2,eng ENG,RB,34-098,78,3,1,2,1,0,1,2,50.0,1,0,0,0,0,3,3,0
Matt Targett,13,eng ENG,RB,29-099,12,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0
Martin Dúbravka,1,sk SVK,GK,35-346,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
