Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Chris Wood,11,nz NZL,FW,33-098,79,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0
Taiwo Awoniyi,9,ng NGA,FW,27-215,11,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Callum Hudson-Odoi,14,eng ENG,LW,24-128,80,2,2,1,1,0,1,1,100.0,0,0,0,0,0,2,0,0
Jota Silva,20,pt POR,RW,25-226,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Anthony Elanga,21,se SWE,RW,22-322,66,2,2,0,2,0,0,1,0.0,1,0,0,0,0,2,2,0
Morato,4,br BRA,CB,23-258,24,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Morgan Gibbs-White,10,eng ENG,"AM,RW,LW",25-047,88,3,1,2,1,0,0,2,0.0,2,1,0,1,0,3,1,0
Danilo,28,br BRA,LW,23-320,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Elliot Anderson,8,eng ENG,"DM,CM",22-129,90,2,2,0,2,0,1,3,33.3,2,0,0,0,2,4,1,1
Nicolás Domínguez,16,ar ARG,DM,26-260,66,1,1,0,1,0,1,3,33.3,2,0,0,0,0,1,3,0
Ryan Yates,22,eng ENG,CM,27-114,24,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0
Neco Williams,7,wls WAL,"LB,LM",23-336,90,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,5,0
Murillo,5,br BRA,CB,22-254,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
Nikola Milenković,31,rs SRB,CB,27-154,90,4,2,2,2,0,2,2,100.0,0,1,1,0,0,4,9,0
Ola Aina,34,ng NGA,"RB,RM",28-158,90,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,9,0
Matz Sels,26,be BEL,GK,33-017,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
