Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Marcus Rashford,9,eng ENG,FW,27-153,64,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Ollie Watkins,11,eng ENG,FW,29-093,26,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,1,0
Jacob Ramsey,41,eng ENG,LW,23-309,64,4,2,2,1,1,1,1,100.0,0,1,0,1,0,4,1,0
Marco Asensio,21,es ESP,AM,29-071,26,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
Morgan Rogers,27,eng ENG,RW,22-250,87,6,3,4,2,0,6,7,85.7,1,1,0,1,1,7,1,0
Donyell Malen,17,nl NED,RW,26-083,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
John McGinn,7,sct SCO,"AM,LW",30-166,90,0,0,0,0,0,0,0,,0,2,1,1,0,0,1,0
Youri Tielemans,8,be BEL,DM,27-330,64,3,1,2,1,0,3,4,75.0,1,0,0,0,0,3,3,0
Amadou Onana,24,be BEL,DM,23-229,26,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Boubacar Kamara,44,fr FRA,DM,25-130,90,3,3,2,1,0,1,3,33.3,2,3,0,3,0,3,4,0
Lucas Digne,12,fr FRA,LB,31-256,90,5,3,4,0,1,2,2,100.0,0,1,0,1,0,5,3,0
Pau Torres,14,es ESP,CB,28-076,90,2,1,0,1,1,0,1,0.0,1,1,1,0,3,5,9,0
Ezri Konsa,4,eng ENG,CB,27-161,90,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,4,0
Matty Cash,2,pl POL,RB,27-238,80,1,0,1,0,0,1,1,100.0,0,0,0,0,2,3,6,0
Axel Disasi,3,fr FRA,RB,27-022,10,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
Emiliano Martínez,23,ar ARG,GK,32-212,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
