Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Erling Haaland,9,no NOR,FW,24-177,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Sávio,26,br BRA,LW,20-279,90,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0
Phil Foden,47,eng ENG,RW,24-231,86,2,0,0,1,1,1,1,100.0,0,1,0,1,1,3,1,0
James Mcatee,87,eng ENG,RW,22-088,4,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
Kevin De Bruyne,17,be BEL,AM,33-200,90,1,0,1,0,0,1,1,100.0,0,2,0,2,1,2,3,0
Mateo Kovačić,8,hr CRO,DM,30-253,75,0,0,0,0,0,0,1,0.0,1,0,0,0,3,3,2,0
İlkay Gündoğan,19,de GER,DM,34-082,15,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Bernardo Silva,20,pt POR,DM,30-157,90,3,2,0,3,0,0,0,,0,1,1,0,1,4,3,0
Joško Gvardiol,24,hr CRO,LB,22-357,90,0,0,0,0,0,0,0,,0,2,1,1,2,2,3,0
Nathan Aké,6,nl NED,CB,29-331,90,1,1,1,0,0,1,1,100.0,0,1,1,0,0,1,7,0
Manuel Akanji,25,ch SUI,CB,29-179,90,1,0,1,0,0,0,0,,0,1,1,0,0,1,6,0
Matheus Nunes,27,pt POR,RB,26-140,90,3,2,1,1,1,2,2,100.0,0,1,0,1,1,4,7,0
Stefan Ortega,18,de GER,GK,32-069,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
