Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Dominic Solanke,19,eng ENG,FW,27-057,90,0,0,0,0,0,0,0,,0,2,2,0,0,0,1,0
Son Heung-min,7,kr KOR,"LW,AM",32-125,90,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0
Brennan Johnson,22,wls WAL,RW,23-171,83,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0
James Maddison,10,eng ENG,DM,27-353,7,2,1,2,0,0,1,2,50.0,1,1,0,1,0,2,0,0
Pape Matar Sarr,29,sn SEN,LM,22-057,65,0,0,0,0,0,0,0,,0,0,0,0,4,4,0,0
Timo Werner,16,de GER,"LM,LW",28-249,25,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Rodrigo Bentancur,30,uy URU,CM,27-138,83,7,3,3,4,0,2,3,66.7,1,0,0,0,3,10,0,0
Yves Bissouma,8,ml MLI,DM,28-072,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Dejan Kulusevski,21,se SWE,"RM,RW",24-199,90,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0
Destiny Udogie,13,it ITA,LB,21-348,90,1,0,1,0,0,0,2,0.0,2,4,0,4,2,3,3,0
Radu Drăgușin,6,ro ROU,CB,22-281,90,0,0,0,0,0,0,3,0.0,3,1,1,0,1,1,7,2
Cristian Romero,17,ar ARG,CB,26-197,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
Pedro Porro,23,es ESP,RB,25-058,90,2,1,0,1,1,0,1,0.0,1,1,0,1,2,4,0,0
Guglielmo Vicario,1,it ITA,GK,28-034,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
