Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Cameron Archer,19,eng ENG,FW,23-055,61,9,6,3,0,0,0,0,0,0,0,0,0,9,0,0
Ross Stewart,11,sct SCO,FW,28-065,29,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0
Ben Brereton,17,cl CHI,LW,25-149,63,22,22,0,0,1,0,0,0,0,0,0,0,17,0,0
Ryan Fraser,24,sct SCO,LW,30-203,27,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
Tyler Dibling,33,eng ENG,RW,18-186,62,19,19,0,0,0,1,0,0,0,0,0,0,17,0,0
Adam Lallana,10,eng ENG,DM,36-127,28,22,21,1,0,0,0,0,0,0,0,0,0,16,0,1
Mateus Fernandes,18,pt POR,AM,20-066,80,27,26,1,1,0,0,0,0,0,0,0,0,20,0,1
Taylor Harwood-Bellis,6,eng ENG,CB,22-228,10,11,9,2,1,0,0,0,0,0,0,0,0,10,0,1
Lesley Ugochukwu,26,fr FRA,DM,20-172,63,25,24,1,1,0,0,0,0,0,0,0,0,23,0,1
Maxwel Cornet,22,ci CIV,RW,27-353,27,10,10,0,0,0,0,1,0,0,0,0,0,8,0,0
Flynn Downes,4,eng ENG,DM,25-238,90,59,57,2,2,0,0,0,0,0,0,0,0,58,0,0
Kyle Walker-Peters,2,eng ENG,LB,27-154,90,42,35,7,1,0,0,2,6,0,0,0,0,36,0,1
Jan Bednarek,35,pl POL,CB,28-155,90,80,77,3,0,0,0,0,0,0,0,0,0,70,0,1
Jack Stephens,5,eng ENG,CB,30-231,78,70,67,3,2,0,0,0,1,0,0,0,0,64,0,0
Yukinari Sugawara,16,jp JPN,RB,24-078,90,61,54,7,3,0,1,4,4,0,0,0,0,52,0,0
Aaron Ramsdale,30,eng ENG,GK,26-123,90,37,34,3,2,0,0,0,0,0,0,0,0,29,0,0
