Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Gabriel Jesus,9,br BRA,FW,27-276,90,28,27,1,0,1,0,0,1,0,0,0,0,25,0,0
Leandro Trossard,19,be BEL,LW,30-031,90,38,37,0,0,0,0,2,0,0,0,0,0,31,1,2
Ethan Nwaneri,53,eng ENG,RW,17-289,45,12,10,2,0,0,0,4,0,2,2,0,0,8,0,0
Gabriel Martinelli,11,br BRA,RW,23-200,45,11,11,0,0,1,1,0,0,0,0,0,0,9,0,0
Mikel Merino,23,es ESP,LM,28-196,90,50,48,2,2,0,0,0,0,0,0,0,0,43,0,2
Jorginho,20,it ITA,CM,33-015,63,36,35,1,1,1,0,0,0,0,0,0,0,30,0,1
Martin Ødegaard,8,no NOR,RM,26-018,27,7,7,0,0,0,0,1,0,0,0,0,0,4,0,0
Declan Rice,41,eng ENG,"RM,CM",25-356,90,62,53,8,3,0,1,5,0,3,3,0,0,51,1,1
Riccardo Calafiori,33,it ITA,LB,22-230,90,46,42,4,1,0,0,1,3,0,0,0,0,41,0,1
Gabriel Magalhães,6,br BRA,CB,27-016,90,62,59,3,3,0,0,0,0,0,0,0,0,58,0,0
William Saliba,2,fr FRA,CB,23-286,90,79,77,1,1,0,0,0,0,0,0,0,0,75,1,0
Thomas Partey,5,gh GHA,RB,31-205,90,72,65,7,1,0,0,2,6,0,0,0,0,60,0,0
David Raya,22,es ESP,GK,29-111,90,52,43,9,4,0,0,0,0,0,0,0,0,38,0,0
