Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Danny Welbeck,18,eng ENG,FW,33-293,84,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Evan Ferguson,28,ie IRL,FW,19-331,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Georginio Rutter,14,fr FRA,FW,22-147,66,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0
Julio Enciso,10,py PAR,FW,20-235,24,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Kaoru Mitoma,22,jp JPN,LM,27-117,90,2,1,1,1,0,1,2,50.0,1,2,0,2,0,2,0,0
Yasin Ayari,26,se SWE,CM,20-344,90,4,2,1,3,0,2,4,50.0,2,0,0,0,1,5,0,0
Carlos Baleba,20,cm CMR,CM,20-255,90,3,2,0,1,2,2,3,66.7,1,0,0,0,2,5,0,0
Yankuba Minteh,17,gm GAM,RM,20-054,67,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Simon Adingra,11,ci CIV,RM,22-257,23,1,0,0,1,0,1,2,50.0,1,0,0,0,0,1,0,0
Jack Hinshelwood,41,eng ENG,LB,19-156,67,4,3,1,1,2,2,2,100.0,0,0,0,0,0,4,1,0
Ferdi Kadioglu,24,tr TUR,LB,24-343,23,0,0,0,0,0,0,0,,0,0,0,0,2,2,1,0
Lewis Dunk,5,eng ENG,CB,32-298,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
Jan Paul van Hecke,29,nl NED,CB,24-098,90,1,0,0,1,0,1,1,100.0,0,1,0,1,1,2,2,0
Joël Veltman,34,nl NED,RB,32-243,90,3,3,0,2,1,2,5,40.0,3,1,1,0,2,5,3,0
Bart Verbruggen,1,nl NED,GK,22-027,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
