Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Raúl Jiménez,7,mx MEX,FW,33-183,72,1,0,0,1,0,1,2,50.0,1,0,0,0,1,2,0,0
Rodrigo Muniz,9,br BRA,FW,23-184,18,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Reiss Nelson,19,eng ENG,"LW,RW",24-330,81,0,0,0,0,0,0,0,,0,3,0,3,0,0,0,0
Harry Wilson,8,wls WAL,RW,27-227,9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Alex Iwobi,17,ng NGA,"LW,RW",28-185,90,1,0,0,0,1,1,1,100.0,0,0,0,0,1,2,1,0
Emile Smith Rowe,32,eng ENG,AM,24-099,81,2,1,0,1,1,1,1,100.0,0,0,0,0,1,3,0,0
Tom Cairney,10,sct SCO,AM,33-289,9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Sander Berge,16,no NOR,DM,26-264,90,4,3,2,0,2,2,3,66.7,1,1,1,0,2,6,0,0
Andreas Pereira,18,br BRA,DM,28-308,64,1,1,0,0,1,0,1,0.0,1,1,0,1,0,1,0,0
Adama Traoré,11,es ESP,DM,28-284,26,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Antonee Robinson,33,us USA,LB,27-088,90,0,0,0,0,0,0,3,0.0,3,0,0,0,4,4,1,0
Calvin Bassey,3,ng NGA,CB,24-309,90,2,1,1,1,0,1,2,50.0,1,1,0,1,0,2,2,0
Joachim Andersen,5,dk DEN,CB,28-157,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
Kenny Tete,2,nl NED,RB,29-026,72,4,2,0,3,1,0,0,,0,2,1,1,3,7,3,0
Timothy Castagne,21,be BEL,RB,28-335,18,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Bernd Leno,1,de GER,GK,32-245,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
