Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Nicolas Jackson,15,sn SEN,FW,23-297,86,12,11,1,0,0,0,0,1,0,0,0,0,9,0,1
Christopher Nkunku,18,fr FRA,FW,27-150,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
Pedro Neto,7,pt POR,"LW,RW",25-035,90,58,48,10,2,0,0,17,1,7,2,0,2,47,0,1
Noni Madueke,11,eng ENG,RW,23-034,67,28,28,0,0,0,0,4,0,0,0,0,0,20,0,1
Jadon Sancho,19,eng ENG,LW,25-019,23,12,12,0,0,0,0,1,0,0,0,0,0,10,0,0
Cole Palmer,20,eng ENG,AM,22-342,90,61,55,5,0,0,0,5,1,1,0,0,0,51,1,1
Moisés Caicedo,25,ec ECU,DM,23-162,90,45,42,3,2,0,0,0,1,0,0,0,0,45,0,0
Enzo Fernández,8,ar ARG,DM,24-086,90,77,71,6,1,1,1,12,0,5,3,0,1,55,0,4
Marc Cucurella,3,es ESP,LB,26-265,90,49,36,13,0,0,0,0,11,2,0,0,0,37,0,3
Levi Colwill,6,eng ENG,CB,22-046,90,89,83,6,2,0,0,3,0,0,0,0,0,81,0,0
Tosin Adarabioyo,4,eng ENG,CB,27-201,45,57,57,0,0,0,1,0,0,0,0,0,0,53,0,0
Malo Gusto,27,fr FRA,RB,21-329,45,46,45,1,0,0,0,3,1,0,0,0,0,41,0,1
Trevoh Chalobah,23,eng ENG,"CB,RB",25-282,90,89,83,6,1,0,0,2,4,0,0,0,0,77,0,0
Robert Sánchez,1,es ESP,GK,27-146,90,31,28,3,1,0,0,0,0,0,0,0,0,22,0,0
