Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Diogo Jota,20,pt POR,FW,28-074,63,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Darwin Núñez,9,uy URU,FW,25-237,27,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Luis Díaz,7,co COL,LW,28-034,70,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Wataru Endo,3,jp JPN,DM,32-007,20,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
Mohamed Salah,11,eg EGY,RW,32-246,90,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0
Dominik Szoboszlai,8,hu HUN,"AM,LW",24-114,90,2,1,0,2,0,2,4,50.0,2,1,1,0,0,2,0,1
Alexis Mac Allister,10,ar ARG,"DM,AM",26-054,90,3,3,1,1,1,1,2,50.0,1,5,2,3,1,4,2,0
Ryan Gravenberch,38,nl NED,DM,22-276,90,1,0,0,1,0,1,2,50.0,1,0,0,0,3,4,1,0
Andrew Robertson,26,sct SCO,LB,30-342,90,2,2,2,0,0,2,4,50.0,2,0,0,0,3,5,1,0
Virgil van Dijk,4,nl NED,CB,33-223,90,0,0,0,0,0,0,0,,0,1,1,0,4,4,10,0
Ibrahima Konaté,5,fr FRA,CB,25-267,45,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0
Jarell Quansah,78,eng ENG,CB,22-018,45,0,0,0,0,0,0,0,,0,1,1,0,2,2,2,0
Trent Alexander-Arnold,66,eng ENG,RB,26-132,63,5,2,5,0,0,5,6,83.3,1,0,0,0,2,7,2,2
Conor Bradley,84,nir NIR,RB,21-222,27,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Alisson,1,br BRA,GK,32-137,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
