Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Matheus Cunha,10,br BRA,FW,25-146,66,2,1,1,1,0,1,2,50.0,1,2,0,2,0,2,0,0
Carlos Forbs,26,pt POR,FW,20-215,24,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,0,0
Jørgen Strand Larsen,9,no NOR,FW,24-257,79,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,3,0
Gonçalo Guedes,29,pt POR,FW,27-326,11,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Mario Lemina,5,ga GAB,CM,31-049,90,2,0,1,1,0,1,1,100.0,0,2,0,2,2,4,7,0
André,7,br BRA,CM,23-096,45,2,1,2,0,0,2,2,100.0,0,6,1,5,0,2,4,0
Tommy Doyle,20,eng ENG,CM,23-003,45,1,1,0,1,0,0,1,0.0,1,1,1,0,1,2,1,0
João Gomes,8,br BRA,CM,23-251,89,6,4,6,0,0,1,3,33.3,2,3,0,3,1,7,2,0
Jean-Ricner Bellegarde,27,fr FRA,CM,26-115,1,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0
Rayan Aït-Nouri,3,dz ALG,WB,23-136,90,5,2,4,0,1,4,6,66.7,2,2,2,0,0,5,3,0
Nélson Semedo,22,pt POR,WB,30-339,90,2,2,2,0,0,1,2,50.0,1,1,0,1,0,2,8,0
Toti Gomes,24,pt POR,CB,25-278,90,3,1,3,0,0,0,0,,0,1,0,1,0,3,6,0
Craig Dawson,15,eng ENG,CB,34-167,90,1,0,1,0,0,1,1,100.0,0,1,0,1,2,3,9,0
Santiago Bueno,4,uy URU,CB,25-346,90,1,1,1,0,0,0,1,0.0,1,2,2,0,0,1,6,0
José Sá,1,pt POR,GK,31-277,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
