Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Jørgen Strand Larsen,9,no NOR,FW,25-037,89,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Tommy Doyle,20,eng ENG,AM,23-149,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jean-Ricner Bellegarde,27,fr FRA,AM,26-261,68,4,2,4,0,0,0,0,,0,1,0,1,0,4,1,0
Pablo Sarabia,21,es ESP,AM,32-308,22,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Marshall Munetsi,5,zw ZIM,AM,28-266,68,2,1,1,0,1,1,1,100.0,0,0,0,0,0,2,0,0
Gonçalo Guedes,29,pt POR,"AM,FW",28-106,22,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
André,7,br BRA,CM,23-242,90,3,1,2,1,0,3,7,42.9,4,2,1,1,1,4,0,0
João Gomes,8,br BRA,CM,24-031,90,6,6,2,4,0,1,4,25.0,3,0,0,0,2,8,0,0
Rayan Aït-Nouri,3,dz ALG,WB,23-282,79,5,5,3,2,0,2,6,33.3,4,0,0,0,1,6,3,0
Santiago Bueno,4,uy URU,CB,26-126,11,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Nélson Semedo,22,pt POR,WB,31-119,89,2,1,0,2,0,1,3,33.3,2,1,0,1,3,5,6,0
Nasser Djiga,34,bf BFA,CB,22-120,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Toti Gomes,24,pt POR,"CB,WB",26-058,90,1,1,1,0,0,1,3,33.3,2,2,0,2,1,2,7,0
Emmanuel Agbadou,12,ci CIV,CB,27-271,90,1,0,1,0,0,1,2,50.0,1,2,2,0,0,1,9,0
Matt Doherty,2,ie IRL,"CB,WB",33-058,90,3,0,1,2,0,2,3,66.7,1,1,1,0,1,4,6,0
José Sá,1,pt POR,GK,32-057,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
