Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Nicolas Jackson,15,sn SEN,FW,23-219,60,18,1,2,7,9,4,18,0,0,,0,,10,89,63,2,3,2,2,0,13,5
Christopher Nkunku,18,fr FRA,FW,27-072,30,18,1,2,12,4,0,18,1,1,100.0,0,0.0,8,53,17,0,1,0,1,0,13,0
Jadon Sancho,19,eng ENG,LW,24-306,72,21,1,5,10,7,3,21,3,0,0.0,3,100.0,16,125,68,2,2,1,1,0,17,3
Pedro Neto,7,pt POR,LW,24-322,18,13,0,0,4,9,0,13,0,0,,0,,7,64,38,2,0,0,1,0,11,0
Noni Madueke,11,eng ENG,RW,22-321,90,28,1,5,8,15,8,28,4,2,50.0,2,50.0,21,226,124,8,1,6,1,0,23,7
Cole Palmer,20,eng ENG,AM,22-264,90,38,0,2,25,12,2,38,5,2,40.0,2,40.0,27,212,125,5,2,2,3,2,27,5
Enzo Fernández,8,ar ARG,DM,24-008,90,47,1,11,27,9,1,47,3,3,100.0,0,0.0,22,121,59,0,1,0,0,2,33,1
Moisés Caicedo,25,ec ECU,DM,23-084,90,48,1,17,24,8,0,48,2,2,100.0,0,0.0,20,88,26,0,0,0,0,1,38,0
Marc Cucurella,3,es ESP,LB,26-187,90,65,2,24,31,10,1,65,1,1,100.0,0,0.0,20,87,47,0,0,0,1,0,37,3
Levi Colwill,6,eng ENG,CB,21-334,90,75,18,40,34,1,1,75,0,0,,0,,44,196,66,0,0,0,1,0,58,0
Trevoh Chalobah,23,eng ENG,CB,25-204,90,60,3,28,32,3,1,60,0,0,,0,,28,97,30,0,1,0,0,0,39,0
Reece James,24,eng ENG,RB,25-048,72,45,3,23,19,3,0,45,1,0,0.0,1,100.0,13,48,16,0,0,0,2,0,17,1
Malo Gusto,27,fr FRA,RB,21-251,18,23,0,9,10,4,0,23,0,0,,0,,6,38,11,0,0,0,0,0,10,1
Robert Sánchez,1,es ESP,GK,27-068,90,45,34,45,0,0,0,45,0,0,,0,,31,123,76,0,0,0,0,0,35,0
