Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Raúl Jiménez,7,mx MEX,FW,33-272,72,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
Rodrigo Muniz,9,br BRA,FW,23-273,18,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0
Alex Iwobi,17,ng NGA,LW,28-274,78,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
Ryan Sessegnon,30,eng ENG,"LW,LM",24-259,12,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
Adama Traoré,11,es ESP,RW,29-007,87,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Issa Diop,31,fr FRA,CB,28-023,3,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0
Emile Smith Rowe,32,eng ENG,AM,24-188,71,1,0,0,1,0,0,0,,0,1,0,1,0,1,2,0
Andreas Pereira,18,br BRA,"AM,RM",29-031,19,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
Sander Berge,16,no NOR,"DM,CM",26-353,90,3,1,1,1,1,2,2,100.0,0,3,0,3,0,3,0,0
Saša Lukić,20,rs SRB,"DM,CM",28-172,90,5,3,1,4,0,0,0,,0,1,0,1,0,5,3,0
Antonee Robinson,33,us USA,LB,27-177,90,3,3,1,1,1,0,1,0.0,1,1,0,1,1,4,3,0
Calvin Bassey,3,ng NGA,CB,25-032,90,4,2,2,2,0,3,3,100.0,0,1,0,1,0,4,2,0
Joachim Andersen,5,dk DEN,CB,28-246,90,1,1,1,0,0,1,1,100.0,0,1,0,1,1,2,7,0
Timothy Castagne,21,be BEL,RB,29-058,90,3,2,3,0,0,1,1,100.0,0,2,1,1,1,4,5,0
Bernd Leno,1,de GER,GK,32-334,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
