Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
Mark Flekken,nl NED,31-197,35,5,,5,,0.7,4,8,50.0,25,2,28.0,34.9,1,100.0,68.0,5,1,20.0,,7.0
Hákon Rafn Valdimarsson,is ISL,23-075,55,2,0,2,100.0,0.1,6,20,30.0,21,3,47.6,39.1,10,100.0,62.2,9,2,22.2,0,5.2
