Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Nicolas Jackson,15,sn SEN,FW,23-059,66,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Marc Guiu,38,es ESP,FW,18-227,24,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Christopher Nkunku,18,fr FRA,LW,26-278,57,3,3,0,1,2,2,2,100.0,0,2,0,2,1,4,0,0
Pedro Neto,19,pt POR,LW,24-162,33,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Cole Palmer,20,eng ENG,RW,22-104,90,2,2,1,1,0,2,3,66.7,1,0,0,0,0,2,1,0
Enzo Fernández,8,ar ARG,"AM,DM",23-214,90,2,2,1,1,0,1,2,50.0,1,0,0,0,0,2,0,0
Roméo Lavia,45,be BEL,DM,20-225,66,3,1,0,2,1,0,1,0.0,1,0,0,0,3,6,1,0
Kiernan Dewsbury-Hall,22,eng ENG,AM,25-347,24,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
Moisés Caicedo,25,ec ECU,DM,22-290,90,2,1,0,2,0,1,4,25.0,3,2,0,2,2,4,0,0
Marc Cucurella,3,es ESP,LB,26-027,79,2,2,2,0,0,1,3,33.3,2,1,1,0,0,2,3,0
Renato Veiga,40,pt POR,LB,21-020,11,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Levi Colwill,6,eng ENG,CB,21-174,90,1,0,1,0,0,0,1,0.0,1,1,1,0,2,3,4,0
Wesley Fofana,29,fr FRA,CB,23-245,90,1,1,0,1,0,0,1,0.0,1,2,1,1,1,2,3,0
Malo Gusto,27,fr FRA,RB,21-091,90,4,2,2,1,1,1,6,16.7,5,0,0,0,0,4,1,1
Robert Sánchez,1,es ESP,GK,26-274,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
