Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Paul Onuachu,32,ng NGA,FW,30-212,90,1,1,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0
Adam Armstrong,9,eng ENG,FW,27-320,72,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0
Kamaldeen Sulemana,20,gh GHA,FW,22-315,18,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0
Mateus Fernandes,18,pt POR,AM,20-169,72,3,0,1,1,1,0,0,,0,2,0,2,1,4,1,0
Tyler Dibling,33,eng ENG,AM,18-289,18,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Lesley Ugochukwu,26,fr FRA,CM,20-275,85,1,0,1,0,0,1,2,50.0,1,1,0,1,1,2,0,0
Adam Lallana,10,eng ENG,CM,36-230,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Flynn Downes,4,eng ENG,CM,25-341,60,1,1,0,0,1,1,1,100.0,0,2,0,2,2,3,1,0
Joe Aribo,7,ng NGA,CM,28-158,30,1,0,0,1,0,0,0,,0,2,0,2,1,2,0,0
Kyle Walker-Peters,2,eng ENG,WB,27-257,85,1,1,1,0,0,0,2,0.0,2,0,0,0,0,1,3,0
Ryan Manning,3,ie IRL,WB,28-195,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Yukinari Sugawara,16,jp JPN,WB,24-181,60,3,1,0,3,0,3,3,100.0,0,2,1,1,0,3,0,0
James Bree,14,eng ENG,WB,27-076,30,0,0,0,0,0,0,2,0.0,2,2,1,1,0,0,1,0
Nathan Wood-Gordon,15,eng ENG,CB,22-209,90,1,1,0,0,1,0,0,,0,0,0,0,0,1,1,0
Jan Bednarek,35,pl POL,CB,28-258,90,2,2,1,1,0,0,1,0.0,1,3,3,0,3,5,4,0
Taylor Harwood-Bellis,6,eng ENG,CB,22-331,90,0,0,0,0,0,0,0,,0,2,0,2,2,2,3,0
Aaron Ramsdale,30,eng ENG,GK,26-226,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
