Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
George Hirst,27,sct SCO,FW,25-254,72,24,1,3,8,13,3,24,1,0,0.0,1,100.0,15,70,42,2,0,2,5,0,20,6
Liam Delap,19,eng ENG,FW,21-261,18,6,0,0,2,4,2,6,0,0,,0,,4,33,5,1,0,1,3,0,5,1
Sammie Szmodics,23,ie IRL,LW,29-032,72,24,2,6,7,12,3,24,0,0,,0,,13,63,28,1,0,0,1,2,10,5
Jack Clarke,47,eng ENG,"LM,CM",23-338,18,9,0,4,5,0,0,9,1,1,100.0,0,0.0,5,30,9,0,0,0,1,1,4,0
Chiedozie Ogbene,21,ie IRL,RW,27-178,34,9,0,1,3,5,0,9,1,0,0.0,1,100.0,5,42,14,1,0,0,2,0,5,2
Wes Burns,7,wls WAL,"RW,RM,RB",29-338,56,23,2,7,9,10,2,23,1,0,0.0,1,100.0,14,190,114,4,1,1,0,0,8,2
Conor Chaplin,10,eng ENG,AM,27-253,72,30,1,3,10,17,3,30,0,0,,0,,11,64,30,1,1,0,1,1,17,1
Luke Woolfenden,6,eng ENG,"RB,CB",26-005,18,5,2,3,2,0,0,5,0,0,,0,,1,4,4,0,0,0,1,0,0,0
Jens Cajuste,12,se SWE,"DM,CM",25-077,89,44,1,11,20,13,0,44,0,0,,0,,20,86,59,1,0,0,0,0,23,0
Conor Townsend,22,eng ENG,CM,31-236,1,2,1,1,0,1,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Kalvin Phillips,8,eng ENG,"DM,CM",28-329,90,53,5,15,26,12,0,53,2,2,100.0,0,0.0,19,118,56,1,1,0,1,0,22,0
Leif Davis,3,eng ENG,LB,24-288,90,53,3,12,15,26,1,53,0,0,,0,,21,75,29,0,1,0,1,1,29,5
Cameron Burgess,15,au AUS,CB,29-005,90,54,14,30,17,7,5,54,0,0,,0,,16,58,15,0,1,0,0,0,25,1
Dara O'Shea,26,ie IRL,CB,25-236,90,43,13,26,13,4,1,43,0,0,,0,,16,60,31,0,0,0,0,0,18,0
Harry Clarke,2,eng ENG,RB,23-238,68,36,7,18,11,8,0,36,0,0,,0,,10,68,21,0,1,0,3,0,13,0
Arijanet Muric,1,xk KVX,GK,25-354,90,40,31,39,1,0,0,40,0,0,,0,,21,128,73,0,0,0,0,0,18,0
