Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Liam Delap,19,eng ENG,FW,21-191,73,12,12,0,0,0,1,0,0,0,0,0,0,6,0,1
Ali Al Hamadi,16,iq IRQ,FW,22-169,17,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Omari Hutchinson,20,eng ENG,"LW,RW",20-292,90,20,18,1,0,0,0,1,0,0,0,0,0,10,1,4
Wes Burns,7,wls WAL,RW,29-268,56,15,14,1,0,0,0,1,1,0,0,0,0,9,0,1
Ben Johnson,18,eng ENG,"RB,RW",24-206,34,12,9,3,0,0,0,0,3,0,0,0,0,9,0,0
Conor Chaplin,10,eng ENG,AM,27-183,64,23,20,3,1,0,0,0,0,0,0,0,0,16,0,1
Marcus Harness,11,eng ENG,AM,28-175,26,14,14,0,0,0,0,0,0,0,0,0,0,9,0,1
Massimo Luongo,25,au AUS,DM,31-327,64,19,18,1,1,0,0,0,0,0,0,0,0,16,0,0
Jack Taylor,14,ie IRL,DM,26-055,26,19,19,0,0,0,0,0,0,0,0,0,0,15,0,2
Sam Morsy,5,eg EGY,DM,32-342,90,47,43,3,3,0,0,1,0,0,0,0,0,37,1,2
Leif Davis,3,eng ENG,LB,24-218,90,41,27,13,5,0,0,5,6,2,0,1,0,29,1,1
Jacob Greaves,24,eng ENG,CB,23-340,90,30,30,0,0,0,0,0,0,0,0,0,0,25,0,0
Luke Woolfenden,6,eng ENG,CB,25-301,90,55,49,4,3,0,0,0,1,0,0,0,0,48,2,0
Axel Tuanzebe,40,cd COD,RB,26-277,73,27,23,4,1,0,1,0,3,0,0,0,0,23,0,0
Sammie Szmodics,23,ie IRL,LW,28-328,17,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
Christian Walton,28,eng ENG,GK,28-282,90,42,32,10,4,0,0,0,0,0,0,0,0,33,0,0
