Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Jørgen Strand Larsen,9,no NOR,FW,25-054,90,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,1,0
Jean-Ricner Bellegarde,27,fr FRA,AM,26-278,89,1,1,1,0,0,0,0,,0,1,0,1,0,1,1,0
Boubacar Traoré,6,ml MLI,CM,23-224,1,2,0,0,2,0,1,1,100.0,0,0,0,0,0,2,0,0
Marshall Munetsi,5,zw ZIM,"AM,CM",28-283,90,5,1,1,2,2,2,2,100.0,0,0,0,0,1,6,1,0
André,7,br BRA,CM,23-259,70,0,0,0,0,0,0,1,0.0,1,2,0,2,2,2,0,0
Pablo Sarabia,21,es ESP,"CM,FW",32-325,20,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
João Gomes,8,br BRA,CM,24-048,90,3,2,2,1,0,2,2,100.0,0,3,0,3,3,6,0,0
Rayan Aït-Nouri,3,dz ALG,WB,23-299,81,3,3,1,1,1,1,1,100.0,0,2,0,2,1,4,1,0
Santiago Bueno,4,uy URU,"WB,CB",26-143,9,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Nélson Semedo,22,pt POR,"WB,LB",31-136,90,0,0,0,0,0,0,0,,0,0,0,0,2,2,1,0
Toti Gomes,24,pt POR,CB,26-075,90,4,2,2,2,0,3,3,100.0,0,1,0,1,1,5,12,1
Emmanuel Agbadou,12,ci CIV,CB,27-288,90,2,2,1,1,0,0,0,,0,0,0,0,1,3,6,0
Matt Doherty,2,ie IRL,"CB,RB",33-075,90,2,2,1,1,0,1,1,100.0,0,1,1,0,1,3,9,0
José Sá,1,pt POR,GK,32-074,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
