Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Ollie Watkins,11,eng ENG,FW,29-096,61,6,6,0,0,0,0,0,0,0,0,0,0,3,0,1
Marcus Rashford,9,eng ENG,FW,27-156,29,15,12,3,0,0,1,3,0,3,3,0,0,10,0,2
Morgan Rogers,27,eng ENG,"LW,RW",22-253,90,24,24,0,0,0,0,0,0,0,0,0,0,17,0,0
Donyell Malen,17,nl NED,RW,26-086,61,10,10,0,0,0,0,2,0,0,0,0,0,7,0,0
Jacob Ramsey,41,eng ENG,LW,23-312,29,15,15,0,0,0,0,0,0,0,0,0,0,13,0,0
Marco Asensio,21,es ESP,AM,29-074,72,29,27,2,2,1,0,0,0,0,0,0,0,28,0,0
John McGinn,7,sct SCO,AM,30-169,18,10,9,1,0,1,1,2,0,1,1,0,0,7,0,0
Youri Tielemans,8,be BEL,DM,27-333,90,46,38,8,6,1,0,2,0,0,0,0,0,39,0,0
Amadou Onana,24,be BEL,DM,23-232,61,33,31,2,2,0,0,0,0,0,0,0,0,31,0,0
Boubacar Kamara,44,fr FRA,DM,25-133,29,9,8,1,1,0,0,0,0,0,0,0,0,5,0,1
Ian Maatsen,22,nl NED,LB,23-026,90,51,39,12,2,0,1,3,10,0,0,0,0,42,0,2
Tyrone Mings,5,eng ENG,CB,32-023,90,58,49,9,0,0,0,0,0,0,0,0,0,53,0,1
Axel Disasi,3,fr FRA,"RB,CB",27-025,90,50,46,4,4,0,0,0,0,0,0,0,0,45,0,0
Andrés García,16,es ESP,RB,22-057,45,33,29,4,0,0,0,1,4,0,0,0,0,31,0,0
Ezri Konsa,4,eng ENG,CB,27-164,45,15,15,0,0,0,0,0,0,0,0,0,0,15,0,0
Emiliano Martínez,23,ar ARG,GK,32-215,90,58,47,11,3,0,0,0,0,0,0,0,0,39,0,0
