Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Dominic Calvert-Lewin,9,eng ENG,FW,27-196,90,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0
Iliman Ndiaye,10,sn SEN,LW,24-206,90,0,0,0,0,0,0,2,0.0,2,1,1,0,3,3,1,0
Jesper Lindstrøm,29,dk DEN,RW,24-212,45,2,0,1,1,0,0,0,,0,3,1,2,0,2,0,0
Jack Harrison,11,eng ENG,RW,27-313,45,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
Dwight McNeil,7,eng ENG,AM,24-311,82,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0
Idrissa Gana Gueye,27,sn SEN,"DM,AM",35-002,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Orel Mangala,8,be BEL,DM,26-194,82,4,2,0,4,0,1,1,100.0,0,0,0,0,5,9,0,0
James Garner,37,eng ENG,AM,23-199,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Abdoulaye Doucouré,16,ml MLI,DM,31-271,90,2,1,0,2,0,0,0,,0,1,1,0,0,2,0,0
Vitaliy Mykolenko,19,ua UKR,LB,25-122,90,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,4,0
Jarrad Branthwaite,32,eng ENG,CB,22-093,90,2,2,1,1,0,0,0,,0,1,0,1,3,5,5,0
James Tarkowski,6,eng ENG,CB,31-314,90,2,0,1,1,0,1,2,50.0,1,3,3,0,2,4,10,0
Ashley Young,18,eng ENG,RB,39-081,90,0,0,0,0,0,0,0,,0,1,1,0,2,2,1,0
Jordan Pickford,1,eng ENG,GK,30-205,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
