Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Gabriel Jesus,9,br BRA,FW,27-268,71,21,21,0,0,0,0,1,0,0,0,0,0,17,0,0
Mikel Merino,23,es ESP,LM,28-188,19,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0
Leandro Trossard,19,be BEL,LW,30-023,90,46,45,0,0,0,0,5,0,0,0,0,0,37,1,1
Gabriel Martinelli,11,br BRA,RW,23-192,90,29,29,0,0,0,0,4,0,0,0,0,0,21,0,0
Kai Havertz,29,de GER,"LM,FW",25-199,90,60,59,1,1,0,0,1,0,0,0,0,0,52,0,0
Declan Rice,41,eng ENG,CM,25-348,86,69,65,4,1,0,2,5,0,3,3,0,0,63,0,1
Thomas Partey,5,gh GHA,CM,31-197,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Martin Ødegaard,8,no NOR,RM,26-010,90,75,70,5,1,0,0,1,1,2,1,0,0,62,0,2
Myles Lewis-Skelly,49,eng ENG,LB,18-092,90,69,59,10,1,1,0,1,9,0,0,0,0,66,0,0
Gabriel Magalhães,6,br BRA,CB,27-008,90,109,108,1,1,0,0,0,0,0,0,0,0,98,0,0
William Saliba,2,fr FRA,CB,23-278,90,112,110,2,2,0,0,0,0,0,0,0,0,106,0,0
Jurriën Timber,12,nl NED,RB,23-193,90,80,72,8,2,0,0,0,6,0,0,0,0,73,0,0
David Raya,22,es ESP,GK,29-103,90,30,26,4,3,0,0,0,0,0,0,0,0,24,0,0
