Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Ross Stewart,11,sct SCO,FW,28-086,26,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0
Cameron Archer,19,eng ENG,"FW,LW",23-076,64,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,0,0
Mateus Fernandes,18,pt POR,LM,20-087,73,2,2,0,2,0,1,1,100.0,0,1,0,1,0,2,4,0
Adam Armstrong,9,eng ENG,RW,27-238,17,0,0,0,0,0,0,2,0.0,2,1,0,1,2,2,0,0
Flynn Downes,4,eng ENG,CM,25-259,90,1,0,1,0,0,0,2,0.0,2,5,1,4,0,1,1,1
Joe Aribo,7,ng NGA,"CM,LM",28-076,90,3,2,1,2,0,1,2,50.0,1,1,1,0,2,5,2,0
Tyler Dibling,33,eng ENG,RM,18-207,90,1,1,1,0,0,0,0,,0,1,1,0,0,1,2,0
Ryan Manning,3,ie IRL,LB,28-113,73,3,2,1,2,0,1,1,100.0,0,2,2,0,0,3,3,0
Paul Onuachu,32,ng NGA,FW,30-130,17,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Kyle Walker-Peters,2,eng ENG,"CB,LB,RB",27-175,90,1,1,1,0,0,1,3,33.3,2,3,2,1,0,1,1,0
Jan Bednarek,35,pl POL,CB,28-176,90,0,0,0,0,0,0,1,0.0,1,2,2,0,1,1,13,0
Taylor Harwood-Bellis,6,eng ENG,CB,22-249,90,0,0,0,0,0,0,1,0.0,1,2,1,1,1,1,4,0
Yukinari Sugawara,16,jp JPN,RB,24-099,89,3,1,2,1,0,0,3,0.0,3,1,0,1,0,3,2,1
Charlie Taylor,21,eng ENG,LB,31-017,1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Aaron Ramsdale,30,eng ENG,GK,26-144,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1
