Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Jamie Vardy,9,eng ENG,FW,37-261,90,1,1,1,0,0,0,0,,0,0,0,0,0,1,3,0
Stephy Mavididi,10,eng ENG,LW,26-120,89,3,2,3,0,0,2,6,33.3,4,0,0,0,0,3,2,0
Bobby De Cordova-Reid,14,jm JAM,LW,31-239,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Facundo Buonanotte,40,ar ARG,RW,19-280,84,2,1,2,0,0,1,6,16.7,5,2,1,1,1,3,4,0
Jordan Ayew,18,gh GHA,"RW,AM",33-017,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Wilfred Ndidi,6,ng NGA,"AM,DM",27-287,89,8,6,5,2,1,2,4,50.0,2,4,2,2,0,8,9,0
Odsonne Édouard,29,fr FRA,DM,26-256,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Harry Winks,8,eng ENG,"DM,CB",28-239,90,0,0,0,0,0,0,0,,0,2,1,1,0,0,2,0
Oliver Skipp,22,eng ENG,DM,24-012,89,0,0,0,0,0,0,0,,0,3,1,2,0,0,2,0
Bilal El Khannouss,11,ma MAR,"AM,DM",20-141,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Victor Bernth Kristiansen,16,dk DEN,LB,21-287,90,7,3,6,1,0,5,9,55.6,4,3,2,1,2,9,6,0
Caleb Okoli,5,it ITA,CB,23-077,89,1,0,0,1,0,0,0,,0,2,2,0,1,2,13,1
Abdul Fatawu Issahaku,7,gh GHA,"RW,CB",20-204,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Wout Faes,3,be BEL,CB,26-178,90,1,1,1,0,0,0,1,0.0,1,1,0,1,0,1,11,0
James Justin,2,eng ENG,RB,26-218,90,1,0,1,0,0,0,2,0.0,2,1,0,1,2,3,10,0
Mads Hermansen,30,dk DEN,GK,24-079,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1
