Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Jamie Vardy,9,eng ENG,FW,38-081,45,5,3,2,0,0,0,0,0,0,0,0,0,3,0,0
Oliver Skipp,22,eng ENG,CM,24-198,45,8,8,0,0,0,0,0,0,0,0,0,0,6,0,0
Bilal El Khannouss,11,ma MAR,"AM,FW",20-327,59,26,25,1,0,0,1,0,0,0,0,0,0,24,0,0
Facundo Buonanotte,40,ar ARG,FW,20-100,31,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0
Patson Daka,20,zm ZAM,"AM,FW",26-175,79,13,13,0,0,0,0,0,0,0,0,0,0,11,0,2
Jordan Ayew,18,gh GHA,FW,33-203,11,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
Boubakary Soumaré,24,fr FRA,CM,26-034,75,23,23,0,0,0,0,0,0,0,0,0,0,18,0,1
Ricardo Pereira,21,pt POR,CM,31-178,15,6,4,1,1,0,0,1,0,0,0,0,0,2,1,0
Wilfred Ndidi,6,ng NGA,CM,28-107,90,30,30,0,0,0,0,3,0,0,0,0,0,23,0,1
Victor Bernth Kristiansen,16,dk DEN,"WB,LB",22-107,59,17,14,3,0,0,0,1,3,0,0,0,0,13,0,0
Caleb Okoli,5,it ITA,CB,23-263,31,10,9,1,1,0,0,0,0,0,0,0,0,9,0,0
James Justin,2,eng ENG,"RB,WB",27-038,90,27,25,2,0,0,0,0,2,0,0,0,0,20,0,0
Luke Thomas,33,eng ENG,"CB,LB",23-296,90,35,29,6,2,0,0,1,4,0,0,0,0,29,0,0
Conor Coady,4,eng ENG,CB,32-036,90,33,26,7,2,1,0,0,0,0,0,0,0,32,0,0
Wout Faes,3,be BEL,CB,26-364,90,32,28,4,4,0,0,0,0,0,0,0,0,30,0,0
Mads Hermansen,30,dk DEN,GK,24-265,90,44,35,9,3,0,0,0,0,0,0,0,0,23,0,0
