Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Evanilson,9,br BRA,FW,25-160,90,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0
Antoine Semenyo,24,gh GHA,"LW,RW",25-067,90,2,2,1,0,1,0,1,0.0,1,0,0,0,0,2,0,0
Marcus Tavernier,16,eng ENG,"RW,DM",25-358,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
Justin Kluivert,19,nl NED,AM,25-314,78,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,1,0
David Brooks,7,wls WAL,AM,27-250,12,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Tyler Adams,12,us USA,DM,26-029,78,3,1,3,0,0,3,4,75.0,1,2,0,2,0,3,2,0
James Hill,23,eng ENG,DM,23-064,12,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0
Ryan Christie,10,sct SCO,DM,30-021,66,1,0,1,0,0,0,1,0.0,1,1,0,1,0,1,1,0
Luis Sinisterra,17,co COL,LW,25-271,18,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Dango Ouattara,11,bf BFA,LW,23-032,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Milos Kerkez,3,hu HUN,LB,21-128,90,2,2,1,1,0,1,1,100.0,0,1,1,0,0,2,3,0
Dean Huijsen,2,es ESP,CB,19-335,90,1,1,1,0,0,1,1,100.0,0,0,0,0,2,3,9,0
Illia Zabarnyi,27,ua UKR,CB,22-195,84,2,2,2,0,0,2,2,100.0,0,0,0,0,4,6,7,0
Daniel Jebbison,21,ca CAN,CB,21-214,6,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
Lewis Cook,4,eng ENG,RB,28-040,90,3,1,1,2,0,1,1,100.0,0,0,0,0,2,5,5,0
Kepa Arrizabalaga,13,es ESP,GK,30-163,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
