Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Nicolas Jackson,15,sn SEN,FW,23-093,63,17,17,0,0,0,0,0,0,0,0,0,0,14,0,0
Christopher Nkunku,18,fr FRA,FW,26-312,27,11,11,0,0,0,0,0,0,0,0,0,0,10,0,0
Jadon Sancho,19,eng ENG,LW,24-180,56,20,20,0,0,2,0,0,0,0,0,0,0,18,0,0
Pedro Neto,7,pt POR,LW,24-196,34,23,20,3,0,0,0,4,0,3,2,0,0,16,0,2
Noni Madueke,11,eng ENG,RW,22-195,90,21,21,0,0,0,0,1,0,0,0,0,0,17,0,1
Cole Palmer,20,eng ENG,AM,22-138,63,19,18,1,0,2,1,0,0,0,0,0,0,15,0,0
João Félix,14,pt POR,AM,24-316,27,15,14,0,0,0,0,0,0,0,0,0,0,12,1,0
Enzo Fernández,8,ar ARG,DM,23-248,83,46,43,3,1,0,0,1,0,2,1,0,0,41,0,0
Kiernan Dewsbury-Hall,22,eng ENG,DM,26-015,7,8,8,0,0,0,0,0,0,0,0,0,0,6,0,0
Moisés Caicedo,25,ec ECU,DM,22-324,90,56,53,3,3,1,0,2,0,0,0,0,0,48,0,0
Marc Cucurella,3,es ESP,LB,26-061,90,39,33,6,3,0,0,0,3,0,0,0,0,37,0,0
Levi Colwill,6,eng ENG,CB,21-208,90,62,53,9,3,1,0,0,0,0,0,0,0,55,0,0
Tosin Adarabioyo,4,eng ENG,CB,26-363,90,56,53,3,3,0,0,0,0,0,0,0,0,50,0,0
Wesley Fofana,29,fr FRA,RB,23-279,56,26,22,4,2,0,0,0,2,0,0,0,0,22,0,2
Axel Disasi,2,fr FRA,RB,26-194,34,17,12,5,2,0,0,0,3,0,0,0,0,14,0,1
Robert Sánchez,1,es ESP,GK,26-308,90,43,41,2,1,0,0,0,0,0,0,0,0,35,0,0
