Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Ollie Watkins,11,eng ENG,FW,28-238,64,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0
Jáder Durán,9,co COL,FW,20-255,26,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Morgan Rogers,27,eng ENG,FW,22-029,90,2,1,2,0,0,0,0,,0,1,0,1,0,2,0,0
John McGinn,7,sct SCO,LM,29-311,64,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jacob Ramsey,41,eng ENG,LM,23-088,26,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Youri Tielemans,8,be BEL,CM,27-109,90,5,2,3,2,0,2,2,100.0,0,2,1,1,0,5,0,0
Amadou Onana,24,be BEL,CM,23-008,75,1,0,1,0,0,0,1,0.0,1,0,0,0,1,2,1,0
Ross Barkley,6,eng ENG,CM,30-263,15,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Leon Bailey,31,jm JAM,RM,27-015,90,2,0,0,1,1,0,0,,0,0,0,0,0,2,3,0
Lucas Digne,12,fr FRA,LB,31-035,75,4,3,3,0,1,3,4,75.0,1,0,0,0,2,6,5,0
Ian Maatsen,22,nl NED,LB,22-167,15,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Pau Torres,14,es ESP,CB,27-221,90,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,2,0
Ezri Konsa,4,eng ENG,CB,26-306,90,2,1,1,0,1,2,3,66.7,1,1,0,1,1,3,2,0
Matty Cash,2,pl POL,RB,27-017,15,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Kosta Nedeljković,20,rs SRB,RB,18-252,75,5,3,0,2,3,1,2,50.0,1,0,0,0,0,5,1,0
Emiliano Martínez,23,ar ARG,GK,31-357,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1
