Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Mateus Fernandes,18,pt POR,FW,20-248,45,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0
Paul Onuachu,32,ng NGA,FW,30-291,45,1,1,0,0,1,0,0,,0,2,0,2,0,1,0,0
Kamaldeen Sulemana,20,gh GHA,LW,23-028,82,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Albert Grønbaek,29,dk DEN,LW,23-296,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Tyler Dibling,33,eng ENG,"RW,RM",19-003,90,5,3,4,1,0,3,4,75.0,1,0,0,0,0,5,0,0
Ryan Manning,3,ie IRL,LM,28-274,90,1,0,0,1,0,0,1,0.0,1,1,0,1,0,1,2,0
Joe Aribo,7,ng NGA,CM,28-237,89,0,0,0,0,0,0,0,,0,1,0,1,2,2,0,0
Jack Stephens,5,eng ENG,CM,31-047,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Lesley Ugochukwu,26,fr FRA,CM,20-354,82,1,1,0,1,0,1,1,100.0,0,3,0,3,0,1,0,0
Flynn Downes,4,eng ENG,CM,26-054,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Yukinari Sugawara,16,jp JPN,RM,24-260,68,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,1,0
Cameron Archer,19,eng ENG,RW,23-237,22,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Taylor Harwood-Bellis,6,eng ENG,CB,23-044,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
Armel Bella Kotchap,37,de GER,CB,23-094,90,3,2,1,2,0,1,1,100.0,0,0,0,0,1,4,4,0
Kyle Walker-Peters,2,eng ENG,CB,27-336,90,1,1,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0
Aaron Ramsdale,30,eng ENG,GK,26-305,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
