Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Danny Ings,18,eng ENG,FW,32-133,45,13,11,2,0,1,0,0,0,0,0,0,0,12,0,0
Crysencio Summerville,7,nl NED,"LM,LW",23-034,45,22,22,0,0,0,0,1,0,0,0,0,0,20,0,1
Mohammed Kudus,14,gh GHA,"LW,RW,RM",24-123,78,38,38,0,0,0,0,5,0,0,0,0,0,33,0,2
Niclas Füllkrug,11,de GER,FW,31-298,12,5,4,1,0,0,0,0,0,0,0,0,0,4,0,1
Jarrod Bowen,20,eng ENG,"RW,FW,RM",27-349,90,36,30,6,0,0,0,6,0,5,5,0,0,28,0,0
Tomáš Souček,28,cz CZE,AM,29-280,61,25,25,0,0,0,0,1,0,0,0,0,0,16,0,1
Michail Antonio,9,jm JAM,FW,34-250,29,12,10,2,0,0,0,3,2,0,0,0,0,3,0,2
Carlos Soler,4,es ESP,DM,27-336,61,52,47,5,2,1,1,3,0,3,2,0,0,42,0,0
Lucas Paquetá,10,br BRA,CM,27-098,29,27,26,1,0,0,0,1,1,0,0,0,0,19,0,0
Edson Álvarez,19,mx MEX,DM,27-040,90,83,82,0,0,0,1,1,0,0,0,0,0,76,1,1
Aaron Wan-Bissaka,29,eng ENG,"LB,RB",27-007,90,81,67,14,1,1,0,2,13,0,0,0,0,67,0,1
Max Kilman,26,eng ENG,CB,27-194,90,88,87,1,0,0,2,0,1,0,0,0,0,79,0,1
Konstantinos Mavropanos,15,gr GRE,CB,26-358,90,72,68,4,3,0,0,0,1,0,0,0,0,65,0,0
Vladimír Coufal,5,cz CZE,RB,32-103,61,41,37,4,1,0,0,3,3,0,0,0,0,33,0,1
Emerson Palmieri,33,it ITA,LB,30-122,29,32,24,7,0,0,0,1,6,1,0,1,0,28,1,1
Łukasz Fabiański,1,pl POL,GK,39-229,90,22,17,5,2,0,0,0,0,0,0,0,0,19,0,0
