Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Jørgen Strand Larsen,9,no NOR,FW,24-201,90,1,1,0,0,1,0,0,,0,2,1,1,0,1,2,0
Jean-Ricner Bellegarde,27,fr FRA,LW,26-059,67,2,1,0,2,0,0,0,,0,1,0,1,0,2,0,0
Rodrigo Gomes,19,pt POR,LW,21-049,23,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Hwang Hee-chan,11,kr KOR,RW,28-212,58,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,3,0
Daniel Podence,10,pt POR,"AM,RW",28-309,32,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Matheus Cunha,12,br BRA,AM,25-090,67,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0
Pablo Sarabia,21,es ESP,RW,32-106,23,1,0,0,0,1,1,2,50.0,1,2,0,2,1,2,0,0
Mario Lemina,5,ga GAB,DM,30-359,89,2,0,1,1,0,1,1,100.0,0,0,0,0,1,3,1,0
Tommy Doyle,20,eng ENG,DM,22-313,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
João Gomes,8,br BRA,DM,23-195,90,5,2,1,4,0,2,4,50.0,2,2,0,2,1,6,1,0
Rayan Aït-Nouri,3,dz ALG,LB,23-080,66,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0
Craig Dawson,15,eng ENG,CB,34-111,24,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0
Toti Gomes,24,pt POR,"CB,LB",25-222,90,1,1,1,0,0,0,0,,0,0,0,0,0,1,4,0
Yerson Mosquera,14,co COL,CB,23-115,90,2,1,2,0,0,2,5,40.0,3,3,2,1,1,3,3,0
Matt Doherty,2,ie IRL,RB,32-222,90,4,3,4,0,0,3,4,75.0,1,2,0,2,1,5,4,0
José Sá,1,pt POR,GK,31-221,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
